country_iso3	country_name	n_country_years	n_with_known_prn	first_year	last_year	dominant_primary_series_formulation	dominant_booster_formulation	dominant_prn_in_vaccine_curated	dominant_formulation_confidence	known_prn_fraction	n_years_with_primary_product_metadata	n_years_with_booster_product_metadata	n_years_with_maternal_product_metadata	primary_product_metadata_fraction	booster_product_metadata_fraction	maternal_product_metadata_fraction	role_product_metadata_fraction	mean_primary_prn_positive_share	mean_primary_prn_negative_share	mean_primary_ap_share	mean_booster_prn_positive_share	mean_maternal_prn_positive_share	dominant_primary_products	dominant_primary_share_basis	product_coverage_note	source_file
ABW	Aruba	7	0	2017	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
AFG	Afghanistan	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
AGO	Angola	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
AIA	Anguilla	12	0	2000	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ALB	Albania	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
AND	Andorra	25	5	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.2	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.38				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ARE	United Arab Emirates	25	14	2000	2024	wp_only	wp_or_unknown	no	medium	0.56	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.4166666666666667	0.2				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ARG	Argentina	25	8	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.32	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.6666666666666666	0.32				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ARM	Armenia	25	18	2000	2024	wp_only	wp_or_unknown	no	medium	0.72	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.25	0.12				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ASM	American Samoa	7	0	2000	2011	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
