country_iso3	country_name	n_country_years	n_with_known_prn	first_year	last_year	dominant_primary_series_formulation	dominant_booster_formulation	dominant_prn_in_vaccine_curated	dominant_formulation_confidence	known_prn_fraction	n_years_with_primary_product_metadata	n_years_with_booster_product_metadata	n_years_with_maternal_product_metadata	primary_product_metadata_fraction	booster_product_metadata_fraction	maternal_product_metadata_fraction	role_product_metadata_fraction	mean_primary_prn_positive_share	mean_primary_prn_negative_share	mean_primary_ap_share	mean_booster_prn_positive_share	mean_maternal_prn_positive_share	dominant_primary_products	dominant_primary_share_basis	product_coverage_note	source_file
ATG	Antigua and Barbuda	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
AUS	Australia	25	25	2000	2024	ap_prn_positive	ap_prn_positive	yes	high	1.0	25	25	0	1.000000	1.000000	0.000000	1.000000	1.0	0.0	1.0	1.0		Australian routine acellular childhood programme summary	national_programme_summary	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
AUT	Austria	27	5	1998	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.18518518518518517	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.35185185185185186				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
AZE	Azerbaijan	25	23	2000	2024	wp_only	wp_or_unknown	no	medium	0.92	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.041666666666666664	0.02				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BDI	Burundi	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BEL	Belgium	28	5	1997	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.17857142857142858	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.3392857142857143				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BEN	Benin	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BFA	Burkina Faso	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BGD	Bangladesh	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BGR	Bulgaria	26	6	1999	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.23076923076923078	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.75	0.34615384615384615				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BHR	Bahrain	25	5	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.2	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.38				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BHS	Bahamas	25	11	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.44	0	0	0	0.000000	0.000000	0.000000	0.000000	0.06818181818181818	0.06818181818181818	0.6041666666666666	0.29				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BIH	Bosnia and Herzegovina	25	7	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.28	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7083333333333334	0.34				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BLR	Belarus	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.11458333333333333	0.11458333333333333	0.22916666666666666	0.11				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BLZ	Belize	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BMU	Bermuda	14	0	2000	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BOL	Bolivia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BRA	Brazil	25	23	2000	2024	wp_only	dtap_or_tdap_prn_positive	mixed	medium	0.92	11	11	11	0.440000	0.440000	0.440000	0.440000	0.043478260869565216	0.043478260869565216	0.125	0.06	1.0			Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BRB	Barbados	26	24	2000	2025	wp_only	wp_or_unknown	no	medium	0.9230769230769231	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0625	0.0625	0.125	0.057692307692307696				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BRN	Brunei Darussalam	25	10	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.4	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.5833333333333334	0.28				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BTN	Bhutan	25	17	2000	2024	wp_only	wp_or_unknown	no	medium	0.68	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.2916666666666667	0.14				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
BWA	Botswana	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CAF	Central African Republic	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CAN	Canada	25	5	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.2	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.38				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CHE	Switzerland	25	1	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.04	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.46				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CHL	Chile	25	12	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.48	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.5	0.24				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CHN	China	25	25	2000	2024	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	1.0	20	0	0	0.800000	0.000000	0.000000	0.800000	0.475	0.325	0.8	0.4		China DTaP brand-mix summary	country_level_bridge_from_programme_history	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CIV	Côte d'Ivoire	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CMR	Cameroon	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
COG	Congo	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
COK	Cook Islands	25	16	2000	2024	wp_only	wp_or_unknown	no	medium	0.64	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.3333333333333333	0.16				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
COL	Colombia	25	13	2000	2024	wp_only	wp_or_unknown	no	medium	0.52	0	0	0	0.000000	0.000000	0.000000	0.000000	0.019230769230769232	0.019230769230769232	0.4791666666666667	0.23				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
COM	Comoros	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CPV	Cabo Verde	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CRI	Costa Rica	25	6	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.24	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.75	0.36				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CUB	Cuba	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CUW	Curaçao	3	0	2017	2019	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CYM	Cayman Islands	11	0	2000	2024	unknown	none_recorded	unknown	unknown	0.0	0	0	0	0.000000	0.000000	0.000000	0.000000				0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CYP	Cyprus	25	1	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.04	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.46				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
CZE	Czechia	27	24	1998	2024	ap_prn_positive	ap_prn_positive	yes	medium	0.8888888888888888	18	0	0	0.666667	0.000000	0.000000	0.666667	0.48333333333333334	0.26666666666666666	0.75	0.46296296296296297		Infanrix hexa era	national_single_product	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
DEU	Germany	28	5	1997	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.17857142857142858	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.3392857142857143				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
DJI	Djibouti	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
DMA	Dominica	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
DNK	Denmark	28	5	1997	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.17857142857142858	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7916666666666666	0.3392857142857143				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
DOM	Dominican Republic	25	21	2000	2024	wp_only	wp_or_unknown	no	medium	0.84	0	0	0	0.000000	0.000000	0.000000	0.000000	0.03571428571428571	0.03571428571428571	0.1875	0.09				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
DZA	Algeria	25	22	2000	2024	wp_only	wp_or_unknown	no	medium	0.88	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.08333333333333333	0.04				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ECU	Ecuador	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
EGY	Egypt	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ERI	Eritrea	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ESP	Spain	28	28	1997	2024	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	1.0	27	8	0	0.964286	0.285714	0.000000	0.964286	0.6832706767035714	0.28101503758214286	0.9642857142857143	0.7142857142857143		Regional ACV programmes retaining PRN-containing products; Regional ACV programmes using PRN-free product after 2013 approval	subnational_region_count_proxy_14_of_19; subnational_region_count_proxy_5_of_19	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
EST	Estonia	25	7	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.28	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.7083333333333334	0.34				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
ETH	Ethiopia	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
FIN	Finland	28	28	1997	2024	ap_prn_positive	ap_prn_positive	yes	high	1.0	20	0	0	0.714286	0.000000	0.000000	0.714286	0.5714285714285714	0.14285714285714285	0.7142857142857143	0.5714285714285714		PT/FHA/PRN acellular routine programme summary	national_programme_summary	Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
FJI	Fiji	25	24	2000	2024	wp_only	wp_or_unknown	no	medium	0.96	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
FRA	France	28	28	1997	2024	mixed_brand_heterogeneous	mixed_brand_heterogeneous	mixed	medium	1.0	1	3	0	0.035714	0.107143	0.000000	0.107143	0.47946428571428573	0.48482142857142857	0.9642857142857143	0.5357142857142857				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
FSM	Micronesia, Federated States of	25	1	2000	2024	ap_or_mixed_unknown_prn	ap_or_mixed_unknown_prn	unknown	unknown	0.04	0	0	0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.9583333333333334	0.46				Merged coarse formulation coverage used by aPExposure V2 with role-specific routine-primary, booster, and maternal product metadata used by aPExposure V3.	outputs/workflow/epi/formulation_curation_summary.tsv;outputs/workflow/epi/product_metadata_summary.tsv
