analysis_id	transition_node_id	parent_node_id	descendant_tip_count	descendant_disrupted_tip_count	descendant_disrupted_tip_examples	origin_count_interpretation
rooted_snp_k3_neighborhood	node_000007	node_000006	12	10	GCA_000479695.2;GCA_001605055.1;GCA_001985525.1;GCA_001605115.1;GCA_000479655.2;GCA_000479775.2;GCA_001686405.1;GCA_000479555.2;GCA_001985585.1;GCA_001605525.1	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000033	node_000032	1	1	GCA_001509915.1	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000036	node_000035	26	21	GCA_000479595.2;GCA_000479715.2;GCA_001601785.1;GCA_001605445.1;GCA_001605705.1;GCA_001686425.1;GCA_001985305.1;GCA_001986045.1;GCA_001985965.1;GCA_001985505.1	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000042	node_000041	20	19	GCA_000479595.2;GCA_000479715.2;GCA_001601785.1;GCA_001605445.1;GCA_001605705.1;GCA_001686425.1;GCA_001985305.1;GCA_001986045.1;GCA_001985965.1;GCA_001985505.1	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000092	node_000091	1	1	GCA_000479535.2	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000098	node_000097	2	2	GCA_001985765.1;GCA_001985845.1	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000111	node_000105	3	3	GCA_001605405.1;GCA_001605425.1;GCA_001985545.1	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000117	node_000116	1	1	GCA_001307645.1	rooted_snp_local_neighborhood_sensitivity
rooted_snp_k3_neighborhood	node_000122	node_000121	1	1	GCA_001307525.1	rooted_snp_local_neighborhood_sensitivity
full_manifest_proxy_k3_neighborhood	node_001756	node_000002	1	1	SAMN07352219	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000837	node_000007	4	4	SAMN08395636;SAMN03702686;SAMN03491903;SAMN04383583	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000745	node_000011	32	28	SAMN18620830;SAMN18620823;SAMN18620820;SAMN18620822;SAMN18620797;SAMN18620747;SAMN14488319;SAMN18620757;SAMN14488322;SAMN18620744	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000015	node_000014	345	198	SAMN02436249;SAMN02436301;SAMN10176193;SAMN10176199;SAMN10161217;SAMN13699880;SAMN03216665;SAMN02436202;SAMN12523736;SAMN42391132	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000532	node_000024	16	11	SAMN08524472;SAMN10182696;SAMN10176964;SAMN04221194;SAMN10182690;SAMN12305719;SAMN08524461;SAMN10176983;SAMN10176965;SAMN08395637	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000462	node_000028	20	18	SAMN04221192;SAMN08395629;SAMN10176223;SAMN10161200;SAMN10176209;SAMN10176213;SAMN05716051;SAMN04221198;SAMN04383576;SAMN13699870	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000032	node_000031	202	112	SAMN02436249;SAMN02436301;SAMN10176193;SAMN10176199;SAMN10161217;SAMN13699880;SAMN03216665;SAMN02436202;SAMN12523736;SAMN42391132	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000042	node_000041	149	80	SAMN02436249;SAMN02436301;SAMN10176193;SAMN10176199;SAMN10161217;SAMN13699880;SAMN03216665;SAMN02436202;SAMN12523736;SAMN42391132	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000056	node_000055	84	45	SAMN02436249;SAMN02436301;SAMN10176193;SAMN10176199;SAMN10161217;SAMN13699880;SAMN03216665;SAMN02436202;SAMN12523736;SAMN42391132	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000071	node_000070	25	18	SAMN02436249;SAMN02436301;SAMN10176193;SAMN10176199;SAMN10161217;SAMN13699880;SAMN03216665;SAMN02436202;SAMN12523736;SAMN42391132	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000105	node_000104	1	1	SAMN42391132	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000125	node_000124	1	1	SAMN02436205	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000130	node_000128	1	1	SAMN11539680	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000135	node_000133	1	1	SAMN12523726	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000138	node_000136	1	1	SAMN03854494	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000141	node_000139	1	1	SAMN12585525	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000143	node_000142	2	2	SAMN03702678;SAMN08469394	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000150	node_000148	1	1	SAMN04383603	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000154	node_000153	1	1	SAMN12108519	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000159	node_000158	1	1	SAMN05751699	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000165	node_000161	3	2	SAMN02436242;SAMN08395638	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000187	node_000186	1	1	SAMN04867637	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000226	node_000224	1	1	SAMN10161224	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000234	node_000232	4	3	SAMN18620758;SAMN18620768;SAMN18620807	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000243	node_000242	1	1	SAMN10298216	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000248	node_000246	1	1	SAMN10182684	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000255	node_000253	1	1	SAMN12108490	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000257	node_000256	1	1	SAMN10298213	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000266	node_000264	1	1	SAMN12523750	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000269	node_000267	1	1	SAMN11539730	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000271	node_000270	3	3	SAMN08524475;SAMN08524478;SAMN10182697	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000280	node_000278	1	1	SAMN08469392	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000282	node_000281	3	3	SAMN12912184;SAMN12585517;SAMN05751695	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000290	node_000288	1	1	SAMN03702662	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000297	node_000296	1	1	SAMN04383597	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000345	node_000343	1	1	SAMN10298225	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000349	node_000347	1	1	SAMN05751696	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000356	node_000352	2	2	SAMD01593374;SAMN11539691	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000439	node_000437	1	1	SAMN11539676	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000444	node_000443	2	2	SAMN10176974;SAMN10176975	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000452	node_000450	2	2	SAMN08524462;SAMN11539681	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000458	node_000456	1	1	SAMN42391119	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000509	node_000501	5	4	SAMN10176212;SAMN03702622;SAMN14488320;SAMN08524451	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000505	node_000503	1	1	SAMN08395641	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000521	node_000520	1	1	SAMN11539649	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000531	node_000529	1	1	SAMN10161222	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000560	node_000556	2	2	SAMN08395637;SAMN05751692	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000566	node_000564	1	1	SAMN06007762	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000568	node_000567	1	1	SAMN12523742	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000573	node_000572	20	14	SAMN03702690;SAMN03702667;SAMN03249376;SAMN03702632;SAMN03702623;SAMN08136985;SAMN04388409;SAMN08469393;SAMN03702671;SAMN03702683	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000581	node_000579	1	1	SAMN03702690	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000615	node_000613	1	1	SAMN03702660	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000620	node_000619	3	2	SAMN12912197;SAMN06007543	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000631	node_000629	1	1	SAMN10182724	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000633	node_000632	2	2	SAMN05716050;SAMN10176971	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000641	node_000640	1	1	SAMN12585516	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000649	node_000647	1	1	SAMN11539725	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000696	node_000694	1	1	SAMN13699847	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000709	node_000707	1	1	SAMN08200079	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000712	node_000710	1	1	SAMN18620749	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000725	node_000713	7	7	SAMN05950790;SAMN03702620;SAMN18620754;SAMN04383592;SAMN12305702;SAMN12589492;SAMN13699860	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000722	node_000720	2	2	SAMN03702650;SAMN03854498	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000744	node_000742	1	1	SAMN08524468	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000814	node_000812	2	2	SAMN05751700;SAMN10182691	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000820	node_000818	1	1	SAMN10182686	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000823	node_000821	1	1	SAMN14488313	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000830	node_000824	4	3	SAMN10176966;SAMN42391128;SAMN12523761	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000828	node_000827	1	1	SAMN12385786	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000847	node_000845	1	1	SAMN12305712	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000854	node_000852	1	1	SAMN12108529	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000857	node_000856	1	1	SAMN12392419	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000864	node_000863	1	1	SAMN42391131	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000873	node_000871	1	1	SAMN08164950	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000879	node_000877	1	1	SAMN07352227	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000883	node_000882	2	2	SAMN13699877;SAMN18620814	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000890	node_000888	1	1	SAMN05751693	proxy_tree_topology_check_not_absolute_origin_count
