analysis_id	transition_node_id	parent_node_id	descendant_tip_count	descendant_disrupted_tip_count	descendant_disrupted_tip_examples	origin_count_interpretation
full_manifest_proxy_k3_neighborhood	node_000901	node_000891	426	289	SAMN04383575;SAMN08524459;SAMN18620745;SAMN12585521;SAMN12385784;SAMN12585522;SAMN18620746;SAMN18620748;SAMN12585527;SAMN12385804	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000897	node_000895	1	1	SAMN12305724	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000899	node_000898	1	1	SAMN11822392	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000912	node_000910	1	1	SAMN18620745	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000918	node_000916	2	2	SAMN12585521;SAMN12385784	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000925	node_000923	1	1	SAMN12585522	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_000996	node_000994	1	1	SAMN18620750	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001007	node_000997	373	259	SAMN12523734;SAMN14488255;SAMN10161214;SAMN03455366;SAMN10182712;SAMN10182709;SAMN10182711;SAMN10182710;SAMN10182708;SAMN10182699	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001001	node_001000	2	2	SAMN42391104;SAMN12305707	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001017	node_001015	1	1	SAMN10161214	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001024	node_001022	1	1	SAMN03455366	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001180	node_001179	1	1	SAMN08136990	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001186	node_001185	9	5	SAMN03702670;SAMN10176200;SAMN05950791;SAMN03702684;SAMN10182674	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001212	node_001210	1	1	SAMN18620816	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001215	node_001214	1	1	SAMN03702659	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001223	node_001222	1	1	SAMN10176196	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001247	node_001225	253	183	SAMN04383589;SAMN03854497;SAMN03702681;SAMN07352196;SAMN07352198;SAMN03464275;SAMN03702679;SAMN03464280;SAMN03702688;SAMN07352192	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001231	node_001229	1	1	SAMN03464281	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001233	node_001232	6	6	SAMN03464274;SAMN08395649;SAMN03455361;SAMN03702631;SAMN03216670;SAMN08395644	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001270	node_001266	4	4	SAMN03464280;SAMN03702688;SAMN07352192;SAMN03464282	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001349	node_001348	1	1	SAMN12585523	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001356	node_001352	2	2	SAMN07352193;SAMN12912230	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001362	node_001360	1	1	SAMN04383578	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001375	node_001367	189	148	SAMN08214409;SAMN04221195;SAMN04383601;SAMN12523715;SAMN03702638;SAMN03702637;SAMN03702682;SAMN10176217;SAMN10182728;SAMN12585526	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001373	node_001371	1	1	SAMN03854490	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001406	node_001404	1	1	SAMN12385781	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001429	node_001427	1	1	SAMN03702680	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001432	node_001430	1	1	SAMN03877223	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001622	node_001620	1	1	SAMN10161219	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001734	node_001733	1	1	SAMN18200430	proxy_tree_topology_check_not_absolute_origin_count
full_manifest_proxy_k3_neighborhood	node_001753	node_001752	1	1	SAMN11822397	proxy_tree_topology_check_not_absolute_origin_count
