analysis_cohort	source_table	amu_metric	n_obs	n_countries	year_window	standard_glm_warning_types	run_status	ridge_effect_alpha_0p01	ridge_effect_alpha_0p1	ridge_effect_alpha_1p0	ridge_effect_min	ridge_effect_max	all_ridge_effects_negative	notes
C	bp_country_year_analysis_input.tsv	macrolide_use	5	4	2012-2024	PerfectSeparationWarning	not_fit_due_n_obs_lt_8							exploratory_only_not_for_primary_inference;standard_glm_attempted_before_ridge_path;min_obs_required_for_ridge=8
C	bp_country_year_analysis_input.tsv	total_antibiotic_use	5	4	2012-2024	PerfectSeparationWarning	not_fit_due_n_obs_lt_8							exploratory_only_not_for_primary_inference;standard_glm_attempted_before_ridge_path;min_obs_required_for_ridge=8
A	bp_country_year_analysis_input_phylo_balanced.tsv	macrolide_use	12	7	2008-2024	PerfectSeparationWarning	ridge_path_fit	-1.274201	-0.560122	-0.144860	-1.274201	-0.144860	true	exploratory_only_not_for_primary_inference;standard_glm_attempted_before_ridge_path;min_obs_required_for_ridge=8
A	bp_country_year_analysis_input_phylo_balanced.tsv	total_antibiotic_use	12	7	2008-2024	PerfectSeparationWarning	ridge_path_fit	-1.243341	-0.284256	-0.100652	-1.243341	-0.100652	true	exploratory_only_not_for_primary_inference;standard_glm_attempted_before_ridge_path;min_obs_required_for_ridge=8
A	bp_country_year_analysis_input_phylo_full.tsv	macrolide_use	12	7	2008-2024	PerfectSeparationWarning	ridge_path_fit	-1.389445	-0.611301	-0.181814	-1.389445	-0.181814	true	exploratory_only_not_for_primary_inference;standard_glm_attempted_before_ridge_path;min_obs_required_for_ridge=8
A	bp_country_year_analysis_input_phylo_full.tsv	total_antibiotic_use	12	7	2008-2024	PerfectSeparationWarning	ridge_path_fit	-1.433482	-0.374977	-0.122694	-1.433482	-0.122694	true	exploratory_only_not_for_primary_inference;standard_glm_attempted_before_ridge_path;min_obs_required_for_ridge=8
