model_id	analysis_panel	sensitivity_label	model_spec	response_track	exposure_column	excluded_country_iso3	country_filter	n_rows	n_countries	year_window	model_family	weighting_scheme	result_type	estimate_term	program_class	reference_class	effect_scale	effect_estimate	ci_lower	ci_upper	p_value	q_value	q_value_scope	notes	estimate_stability
programme_country_period_5y_exclude_USA_programme_only_ipw	programme_country_period_5y	exclude_usa	programme_only	ipw	program_formulation_class_concurrent	USA	exclude_country=USA	13	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence	adjusted_prevalence::routine_ap_mixed	routine_ap_mixed	wp_only_or_pre_ap	probability	0.1609925766674841					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;country_dependence_check=USA_excluded	missing
programme_country_period_5y_exclude_USA_programme_only_ipw	programme_country_period_5y	exclude_usa	programme_only	ipw	program_formulation_class_concurrent	USA	exclude_country=USA	13	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence	adjusted_prevalence::routine_ap_prn_negative	routine_ap_prn_negative	wp_only_or_pre_ap	probability	0.0060261994420292					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;country_dependence_check=USA_excluded	missing
programme_country_period_5y_exclude_USA_programme_only_ipw	programme_country_period_5y	exclude_usa	programme_only	ipw	program_formulation_class_concurrent	USA	exclude_country=USA	13	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence	adjusted_prevalence::routine_ap_prn_positive	routine_ap_prn_positive	wp_only_or_pre_ap	probability	0.4090810635003661					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;country_dependence_check=USA_excluded	missing
programme_country_period_5y_exclude_USA_programme_only_ipw	programme_country_period_5y	exclude_usa	programme_only	ipw	program_formulation_class_concurrent	USA	exclude_country=USA	13	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence	adjusted_prevalence::wp_only_or_pre_ap	wp_only_or_pre_ap	wp_only_or_pre_ap	probability	7.877685824865395e-07					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;country_dependence_check=USA_excluded	missing
programme_country_period_5y_exclude_USA_programme_only_ipw	programme_country_period_5y	exclude_usa	programme_only	ipw	program_formulation_class_concurrent	USA	exclude_country=USA	13	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence_difference	adjusted_prevalence_difference::routine_ap_mixed::wp_only_or_pre_ap	routine_ap_mixed	wp_only_or_pre_ap	probability_difference	0.1609917888989016					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;country_dependence_check=USA_excluded	missing
programme_country_period_5y_exclude_USA_programme_only_ipw	programme_country_period_5y	exclude_usa	programme_only	ipw	program_formulation_class_concurrent	USA	exclude_country=USA	13	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence_difference	adjusted_prevalence_difference::routine_ap_prn_negative::wp_only_or_pre_ap	routine_ap_prn_negative	wp_only_or_pre_ap	probability_difference	0.0060254116734467					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;country_dependence_check=USA_excluded	missing
programme_country_period_5y_exclude_USA_programme_only_ipw	programme_country_period_5y	exclude_usa	programme_only	ipw	program_formulation_class_concurrent	USA	exclude_country=USA	13	10	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence_difference	adjusted_prevalence_difference::routine_ap_prn_positive::wp_only_or_pre_ap	routine_ap_prn_positive	wp_only_or_pre_ap	probability_difference	0.4090802757317836					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;exposure=concurrent_programme_class;country_dependence_check=USA_excluded	missing
programme_country_period_5y_high_confidence_programme_only_ipw	programme_country_period_5y	high_confidence_only	programme_only	ipw	program_formulation_class_concurrent		formulation_confidence_period=high	13	6	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence	adjusted_prevalence::routine_ap_prn_negative	routine_ap_prn_negative	wp_only_or_pre_ap	probability	0.0575127929711198					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;row_subset=high_confidence_only	missing
programme_country_period_5y_high_confidence_programme_only_ipw	programme_country_period_5y	high_confidence_only	programme_only	ipw	program_formulation_class_concurrent		formulation_confidence_period=high	13	6	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence	adjusted_prevalence::routine_ap_prn_positive	routine_ap_prn_positive	wp_only_or_pre_ap	probability	0.4381491507998825					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;row_subset=high_confidence_only	missing
programme_country_period_5y_high_confidence_programme_only_ipw	programme_country_period_5y	high_confidence_only	programme_only	ipw	program_formulation_class_concurrent		formulation_confidence_period=high	13	6	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence	adjusted_prevalence::wp_only_or_pre_ap	wp_only_or_pre_ap	wp_only_or_pre_ap	probability	1.1455010127856197e-10					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;row_subset=high_confidence_only	missing
programme_country_period_5y_high_confidence_programme_only_ipw	programme_country_period_5y	high_confidence_only	programme_only	ipw	program_formulation_class_concurrent		formulation_confidence_period=high	13	6	2000-2024	statsmodels_fractional_logit_cluster	ipw_fractional_response_no_pseudotrials	adjusted_prevalence_difference	adjusted_prevalence_difference::routine_ap_prn_negative::wp_only_or_pre_ap	routine_ap_prn_negative	wp_only_or_pre_ap	probability_difference	0.0575127928565697					not_applicable_no_multiplicity_adjustment	programme_surveillance_design_upgrade;headline_focus=surveillance_heterogeneity_not_causal_policy_effect;sampling_covariates_are_diagnostics_not_policy_mechanisms;response=ipw;row_subset=high_confidence_only	missing
