analysis_id	country_iso3	analysis_branch	status	model_family	metric_name	effect_estimate	ci_lower	ci_upper	p_value	n_obs	aic	notes	pre_mean_cases	post_mean_cases	country_name	full_mechanistic_readiness	full_model_fit_status	posterior_predictive_status	simulation_recovery_status	recovery_direction_rate	median_relative_error	n_fit_starts	n_fit_converged_starts	objective_value	p_value_scope	inference_scope
usa_overlap_nb	USA	half_mechanistic_main	ok	negative_binomial	annual_ipw_prevalence_z	-0.043797717579998174	-0.3149264706014373	0.22733103544144095	0.7515398980532237	72	1015.2184457064152	monthly_cases_fit_on_real_highres_window_with_annual_genomic_prevalence_repeated_within_year			United States										within_diagnostic_model_wald_p_values_no_multiplicity_adjustment	archive_context_diagnostic_not_claim_generating
chn_detection_event	CHN	event_study	ok	event_study	post12_vs_pre12_ratio	4.337584477872248	2.7902303125378483	7.2811718770444545		24		first_detection_year_anchor_with_balanced_12_month_pre_post_window	763.5	3315.0833333333335	China										within_diagnostic_model_wald_p_values_no_multiplicity_adjustment	archive_context_diagnostic_not_claim_generating
jpn_detection_event	JPN	event_study	ok	event_study	post12_vs_pre12_ratio	3.874244256348246	2.1819134524425725	5.966512992159415		24		first_detection_year_anchor_with_balanced_12_month_pre_post_window	67.91666666666667	266.0	Japan										within_diagnostic_model_wald_p_values_no_multiplicity_adjustment	archive_context_diagnostic_not_claim_generating
usa_full_mechanistic	USA	usa_full_mechanistic	failed	age_structured_state_space	recovery_direction_rate					0		optimizer_failed_to_converge			United States	False	failed	not_run	not_run			3.0	0.0	inf	within_diagnostic_model_wald_p_values_no_multiplicity_adjustment	archive_context_diagnostic_not_claim_generating
chn_full_mechanistic	CHN	chn_full_mechanistic	failed	age_structured_state_space	recovery_direction_rate					0		optimizer_failed_to_converge			China	False	failed	not_run	not_run			3.0	0.0	inf	within_diagnostic_model_wald_p_values_no_multiplicity_adjustment	archive_context_diagnostic_not_claim_generating
full_mechanistic_pooled	USA;CHN;JPN	full_mechanistic	not_run	age_structured_state_space	full_model_readiness					0		secondary_sensitivity_placeholder_not_required_for_country_specific_full_mechanistic_readiness			USA;CHN;JPN										within_diagnostic_model_wald_p_values_no_multiplicity_adjustment	archive_context_diagnostic_not_claim_generating
