grid_id	event_rank	prn_event_id	sample_count	sample_share_structural_disrupted
grid_001	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_001	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_001	3	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.017
grid_001	4	prn_evt_other_disruption__insertion_like__gap1042	5	0.011
grid_001	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_002	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_002	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_002	3	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.015
grid_002	4	prn_evt_other_disruption__insertion_like__gap1042	6	0.013
grid_002	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_003	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_003	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_003	3	prn_evt_other_disruption__insertion_like__gap1042	7	0.015
grid_003	4	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.013
grid_003	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_004	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_004	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_004	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_004	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_004	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_005	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_005	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_005	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_005	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_005	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_006	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_006	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_006	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_006	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_006	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_007	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_007	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_007	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_007	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_007	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_008	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_008	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_008	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_008	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_008	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_009	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_009	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_009	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_009	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_009	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_010	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633
grid_010	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_010	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_010	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_010	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_011	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633
grid_011	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_011	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_011	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_011	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_012	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633
grid_012	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_012	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_012	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_012	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_013	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_013	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_013	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_013	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_013	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_014	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_014	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_014	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_014	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_014	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_015	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_015	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_015	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_015	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_015	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_016	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_016	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_016	3	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.017
grid_016	4	prn_evt_other_disruption__insertion_like__gap1042	5	0.011
grid_016	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_017	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_017	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_017	3	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.015
grid_017	4	prn_evt_other_disruption__insertion_like__gap1042	6	0.013
grid_017	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_018	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_018	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_018	3	prn_evt_other_disruption__insertion_like__gap1042	7	0.015
grid_018	4	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.013
grid_018	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_019	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_019	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_019	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_019	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_019	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_020	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_020	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_020	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_020	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_020	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_021	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_021	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_021	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_021	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_021	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_022	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_022	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_022	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_022	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_022	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_023	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_023	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_023	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_023	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_023	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_024	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_024	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_024	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_024	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_024	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_025	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633
grid_025	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_025	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_025	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_025	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_026	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633
grid_026	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_026	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_026	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_026	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_027	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.633
grid_027	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_027	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_027	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_027	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_028	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_028	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_028	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_028	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_028	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_029	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_029	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_029	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_029	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_029	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_030	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_030	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_030	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_030	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_030	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_031	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_031	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_031	3	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.017
grid_031	4	prn_evt_other_disruption__insertion_like__gap1042	5	0.011
grid_031	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_032	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_032	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_032	3	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.015
grid_032	4	prn_evt_other_disruption__insertion_like__gap1042	6	0.013
grid_032	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_033	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_033	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_033	3	prn_evt_other_disruption__insertion_like__gap1042	7	0.015
grid_033	4	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.013
grid_033	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_034	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_034	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_034	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_034	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_034	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_035	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_035	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_035	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_035	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_035	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_036	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_036	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_036	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_036	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_036	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_037	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.621
grid_037	2	prn_evt_rearrangement__within_contig__cov58	108	0.187
grid_037	3	prn_evt_rearrangement__within_contig__cov91	62	0.107
grid_037	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_037	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_038	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.621
grid_038	2	prn_evt_rearrangement__within_contig__cov58	108	0.187
grid_038	3	prn_evt_rearrangement__within_contig__cov91	62	0.107
grid_038	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_038	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_039	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.621
grid_039	2	prn_evt_rearrangement__within_contig__cov58	108	0.187
grid_039	3	prn_evt_rearrangement__within_contig__cov91	62	0.107
grid_039	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.017
grid_039	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.010
grid_040	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.631
grid_040	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_040	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_040	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_040	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_041	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.631
grid_041	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_041	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_041	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_041	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_042	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.631
grid_042	2	prn_evt_rearrangement__within_contig__cov58	108	0.190
grid_042	3	prn_evt_rearrangement__within_contig__cov91	62	0.109
grid_042	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_042	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_043	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.635
grid_043	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_043	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_043	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_043	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_044	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.635
grid_044	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_044	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_044	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_044	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_045	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.635
grid_045	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_045	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_045	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_045	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_046	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_046	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_046	3	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.017
grid_046	4	prn_evt_other_disruption__insertion_like__gap1042	5	0.011
grid_046	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_047	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_047	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_047	3	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.015
grid_047	4	prn_evt_other_disruption__insertion_like__gap1042	6	0.013
grid_047	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_048	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_048	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_048	3	prn_evt_other_disruption__insertion_like__gap1042	7	0.015
grid_048	4	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.013
grid_048	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_049	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_049	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_049	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_049	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_049	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_050	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_050	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_050	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_050	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_050	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_051	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_051	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_051	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_051	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_051	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
