grid_id	event_rank	prn_event_id	sample_count	sample_share_structural_disrupted
grid_052	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.618
grid_052	2	prn_evt_rearrangement__within_contig__cov58	108	0.186
grid_052	3	prn_evt_rearrangement__within_contig__cov91	62	0.107
grid_052	4	prn_evt_other_disruption__insertion_like__gap1476	9	0.015
grid_052	5	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_053	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.618
grid_053	2	prn_evt_rearrangement__within_contig__cov58	108	0.186
grid_053	3	prn_evt_rearrangement__within_contig__cov91	62	0.107
grid_053	4	prn_evt_other_disruption__insertion_like__gap1476	9	0.015
grid_053	5	prn_evt_other_disruption__insertion_like__gap1042	9	0.015
grid_054	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.618
grid_054	2	prn_evt_rearrangement__within_contig__cov58	108	0.186
grid_054	3	prn_evt_rearrangement__within_contig__cov91	62	0.107
grid_054	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.017
grid_054	5	prn_evt_other_disruption__insertion_like__gap1476	9	0.015
grid_055	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638
grid_055	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_055	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_055	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_055	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_056	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638
grid_056	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_056	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_056	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_056	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_057	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638
grid_057	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_057	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_057	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_057	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_058	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_058	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_058	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_058	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_058	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_059	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_059	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_059	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_059	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_059	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_060	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_060	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_060	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_060	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_060	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_061	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_061	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_061	3	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.017
grid_061	4	prn_evt_other_disruption__insertion_like__gap1042	5	0.011
grid_061	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_062	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_062	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_062	3	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.015
grid_062	4	prn_evt_other_disruption__insertion_like__gap1042	6	0.013
grid_062	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_063	1	prn_evt_coding_disrupted_is481__is481__gap1043	338	0.718
grid_063	2	prn_evt_rearrangement__within_contig__cov58	108	0.229
grid_063	3	prn_evt_other_disruption__insertion_like__gap1042	7	0.015
grid_063	4	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.013
grid_063	5	prn_evt_other_disruption__insertion_like__gap1041	4	0.008
grid_064	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_064	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_064	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_064	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_064	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_065	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_065	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_065	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_065	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_065	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_066	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_066	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_066	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_066	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_066	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_067	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_067	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_067	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_067	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_067	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_068	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_068	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_068	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_068	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_068	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_069	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.637
grid_069	2	prn_evt_rearrangement__within_contig__cov58	108	0.191
grid_069	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_069	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_069	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_070	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638
grid_070	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_070	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_070	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_070	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_071	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638
grid_071	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_071	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_071	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_071	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_072	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.638
grid_072	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_072	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_072	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_072	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
grid_073	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_073	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_073	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_073	4	prn_evt_other_disruption__insertion_like__gap1042	8	0.014
grid_073	5	prn_evt_coding_disrupted_is481__is481__gap1042	8	0.014
grid_074	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_074	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_074	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_074	4	prn_evt_other_disruption__insertion_like__gap1042	9	0.016
grid_074	5	prn_evt_coding_disrupted_is481__is481__gap1042	7	0.012
grid_075	1	prn_evt_coding_disrupted_is481__is481__gap1043	359	0.639
grid_075	2	prn_evt_rearrangement__within_contig__cov58	108	0.192
grid_075	3	prn_evt_rearrangement__within_contig__cov91	62	0.110
grid_075	4	prn_evt_other_disruption__insertion_like__gap1042	10	0.018
grid_075	5	prn_evt_coding_disrupted_is481__is481__gap1042	6	0.011
