record_type	country_iso3	origin_id	year	relative_year	n_admin1_reached_by_year	time_to_second_admin1	median_distance_from_first_location	n_geolocated_samples	notes
origin_year	USA	origin_0002	2012.0	0.0	1.0		0.0	1	first_admin1=Connecticut
origin_year	USA	origin_0002	2015.0	3.0	1.0		0.0	2	first_admin1=Connecticut
origin_year	USA	origin_0002	2018.0	6.0	1.0		0.0	3	first_admin1=Connecticut
origin_year	USA	origin_0005	2016.0	0.0	1.0		0.0	2	first_admin1=Vermont
origin_year	USA	origin_0006	2011.0	0.0	1.0		0.0	1	first_admin1=California
origin_year	USA	origin_0007	2013.0	0.0	1.0		0.0	1	first_admin1=Minnesota
origin_year	USA	origin_0008	2012.0	0.0	2.0	0.0	1019.9131415412908	3	first_admin1=Vermont
origin_year	USA	origin_0008	2013.0	1.0	3.0	0.0	260.47689714362735	4	first_admin1=Vermont
origin_year	USA	origin_0008	2014.0	2.0	3.0	0.0	260.47689714362735	8	first_admin1=Vermont
origin_year	USA	origin_0008	2015.0	3.0	3.0	0.0	260.47689714362735	10	first_admin1=Vermont
origin_year	USA	origin_0008	2016.0	4.0	4.0	0.0	995.0633123330414	19	first_admin1=Vermont
origin_year	USA	origin_0008	2018.0	6.0	4.0	0.0	995.0633123330414	20	first_admin1=Vermont
origin_year	USA	origin_0008	2019.0	7.0	4.0	0.0	995.0633123330414	27	first_admin1=Vermont
origin_year	USA	origin_0008	2020.0	8.0	5.0	0.0	1729.6497275224554	34	first_admin1=Vermont
origin_year	USA	origin_0010	2016.0	0.0	1.0		0.0	1	first_admin1=Minnesota
origin_year	USA	origin_0011	2015.0	0.0	1.0	2.0	0.0	1	first_admin1=Minnesota
origin_year	USA	origin_0011	2017.0	2.0	3.0	2.0	1201.188137008057	14	first_admin1=Minnesota
origin_year	USA	origin_0011	2018.0	3.0	3.0	2.0	1201.188137008057	31	first_admin1=Minnesota
origin_year	USA	origin_0011	2019.0	4.0	4.0	2.0	1401.2025217758323	46	first_admin1=Minnesota
origin_year	USA	origin_0011	2020.0	5.0	4.0	2.0	1401.2025217758323	52	first_admin1=Minnesota
origin_year	USA	origin_0013	2009.0	0.0	1.0		0.0	1	first_admin1=Pennsylvania
origin_year	USA	origin_0014	2010.0	0.0	1.0	1.0	0.0	2	first_admin1=California
origin_year	USA	origin_0014	2011.0	1.0	2.0	1.0	624.2426097964639	7	first_admin1=California
origin_year	USA	origin_0014	2012.0	2.0	5.0	1.0	1248.4852195929277	12	first_admin1=California
origin_year	USA	origin_0014	2013.0	3.0	8.0	1.0	1782.722793341367	22	first_admin1=California
origin_year	USA	origin_0014	2014.0	4.0	9.0	1.0	2316.960367089806	32	first_admin1=California
origin_year	USA	origin_0014	2015.0	5.0	9.0	1.0	2316.960367089806	37	first_admin1=California
origin_year	USA	origin_0014	2016.0	6.0	9.0	1.0	2316.960367089806	44	first_admin1=California
origin_year	USA	origin_0014	2017.0	7.0	9.0	1.0	2316.960367089806	55	first_admin1=California
origin_year	USA	origin_0014	2018.0	8.0	9.0	1.0	2316.960367089806	57	first_admin1=California
origin_year	USA	origin_0014	2019.0	9.0	9.0	1.0	2316.960367089806	63	first_admin1=California
origin_year	USA	origin_0014	2020.0	10.0	9.0	1.0	2316.960367089806	64	first_admin1=California
origin_year	USA	origin_0015	2011.0	0.0	1.0	1.0		4	first_admin1=
origin_year	USA	origin_0015	2012.0	1.0	2.0	1.0		11	first_admin1=
origin_year	USA	origin_0015	2013.0	2.0	3.0	1.0		18	first_admin1=
origin_year	USA	origin_0015	2014.0	3.0	4.0	1.0		34	first_admin1=
origin_year	USA	origin_0015	2015.0	4.0	4.0	1.0		35	first_admin1=
origin_year	USA	origin_0015	2017.0	6.0	4.0	1.0		36	first_admin1=
origin_year	USA	origin_0015	2019.0	8.0	5.0	1.0		39	first_admin1=
origin_year	USA	origin_0018	2010.0	0.0	1.0	1.0	0.0	2	first_admin1=Massachusetts
origin_year	USA	origin_0018	2011.0	1.0	3.0	1.0	166.86750887352545	6	first_admin1=Massachusetts
origin_year	USA	origin_0018	2012.0	2.0	8.0	1.0	914.0315507417865	29	first_admin1=Massachusetts
origin_year	USA	origin_0018	2013.0	3.0	10.0	1.0	1712.5114373939068	51	first_admin1=Massachusetts
origin_year	USA	origin_0018	2014.0	4.0	10.0	1.0	1712.5114373939068	105	first_admin1=Massachusetts
origin_year	USA	origin_0018	2015.0	5.0	10.0	1.0	1712.5114373939068	139	first_admin1=Massachusetts
origin_year	USA	origin_0018	2016.0	6.0	10.0	1.0	1712.5114373939068	160	first_admin1=Massachusetts
origin_year	USA	origin_0018	2017.0	7.0	10.0	1.0	1712.5114373939068	225	first_admin1=Massachusetts
origin_year	USA	origin_0018	2018.0	8.0	10.0	1.0	1712.5114373939068	254	first_admin1=Massachusetts
origin_year	USA	origin_0018	2019.0	9.0	12.0	1.0	1177.9419410520973	306	first_admin1=Massachusetts
origin_year	USA	origin_0018	2020.0	10.0	12.0	1.0	1177.9419410520973	308	first_admin1=Massachusetts
origin_year	USA	origin_0019	2015.0	0.0	0.0			1	first_admin1=
origin_year	USA	origin_0021	2012.0	0.0	0.0			1	first_admin1=
origin_year	USA	origin_0023	2012.0	0.0	1.0		0.0	1	first_admin1=Vermont
country_summary	USA							510	USA internal admin1 metadata retained (958 genomes). China retained as text-only context because no focal ASR-resolved origin footprint was available in the current tree freeze.
