panel_id	model_id	analysis_cohort	sensitivity_label	focal_exposure_family	excluded_country_iso3	estimate_term	effect_scale	effect_estimate	ci_lower	ci_upper	p_value	q_value	q_value_scope	stability_label	headline_eligibility	country_filter	year_window	n_country_year_cells	n_countries	covariates	exposure_formula_id	exposure_lambda	exposure_gamma	primary_effect_estimate	same_direction_as_primary	metric_name	metric_value	x_value	predicted_probability	amu_metric	standard_glm_warning_types	n_obs	ridge_effect_alpha_0p01	ridge_effect_alpha_0p1	ridge_effect_alpha_1p0	all_ridge_effects_negative	source_file	notes
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_GTM_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	GTM	ap_exposure_v3_score	log_odds	0.7682648744400381	-1.972627076132071	3.509156825012147	0.5827427103194317	0.9496314908424215	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=GTM	2000-2024	33	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=GTM;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_JPN_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	JPN	ap_exposure_v3_score	log_odds	1.1441244075586272	-1.005979703235507	3.294228518352761	0.29696439435600275	0.5498451467080043	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=JPN	2000-2024	33	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=JPN;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_NZL_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	NZL	ap_exposure_v3_score	log_odds	0.587374569616393	-2.5245078331434785	3.699256972376265	0.7114165702275581	0.9081868081118017	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=NZL	2000-2024	32	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							32					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=NZL;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_USA_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	USA	ap_exposure_v3_score	log_odds	0.08777251842986222	0.08777251842964258	0.08777251843008187	0.0	0.0	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=USA	2012-2024	16	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							16					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=USA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_ZAF_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	ZAF	ap_exposure_v3_score	log_odds	0.7673588665854455	-1.9703006216126209	3.5050183547835116	0.5827426892317369	0.9496314686623621	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=ZAF	2000-2024	33	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=ZAF;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_BRA_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	BRA	ap_exposure_v2_score	log_odds	2.394872615871299	1.4529960850101196	3.336749146732479	6.240708467834048e-07	2.496283387133619e-06	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=BRA	2000-2024	33	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=BRA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_CHN_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	CHN	ap_exposure_v2_score	log_odds	0.7464717603218602	-1.4161220988501086	2.909065619493829	0.49869686071257135	0.9457626277668667	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=CHN	2000-2024	26	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							26					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=CHN;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_FRA_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	FRA	ap_exposure_v2_score	log_odds	1.2857331383859743	-0.2954959122004004	2.866962188972349	0.11099867919201413	0.4439947167680565	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=FRA	2000-2024	33	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=FRA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_GBR_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	GBR	ap_exposure_v2_score	log_odds	1.34842516243549	-0.3376271681930789	3.034477493064059	0.11699422444300862	0.4679768977720345	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=GBR	2000-2024	33	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=GBR;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_GTM_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	GTM	ap_exposure_v2_score	log_odds	1.1825968147151438	-0.2979847023652018	2.663178331795489	0.11745948401682824	0.46983793606731294	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=GTM	2000-2024	33	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=GTM;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_JPN_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	JPN	ap_exposure_v2_score	log_odds	2.301773375100241	0.9796422820488109	3.6239044681516708	0.0006442291785578563	0.0008589722380771417	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=JPN	2000-2024	33	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=JPN;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_NZL_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	NZL	ap_exposure_v2_score	log_odds	1.2173044733131584	-0.5948565652810707	3.0294655119073877	0.18796801141907205	0.7518720456762882	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=NZL	2000-2024	32	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							32					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=NZL;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_USA_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	USA	ap_exposure_v2_score	log_odds	0.15359746020347465	0.15359746020341902	0.15359746020353027	0.0	0.0	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=USA	2012-2024	16	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							16					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=USA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v2_exclude_ZAF_glm	C_IPW	leave_one_country_out_ap_exposure_v2	v2	ZAF	ap_exposure_v2_score	log_odds	1.1806116447178887	-0.2974844893764079	2.658707778812185	0.1174594840175731	0.4698379360702924	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=ZAF	2000-2024	33	8	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.3471860939611744	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;leave_one_country_out=ZAF;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v1_exclude_BRA_glm	C_IPW	leave_one_country_out_ap_exposure_v1	v1	BRA	ap_exposure_v1_score	log_odds	1.17671385753487	0.4894511225272382	1.8639765925425016	0.0007911792697020558	0.0015823585394041115	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=BRA	2000-2024	33	8	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.6625741938333389	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag;leave_one_country_out=BRA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v1_exclude_CHN_glm	C_IPW	leave_one_country_out_ap_exposure_v1	v1	CHN	ap_exposure_v1_score	log_odds	1.0431398239410448	-0.5304661119121383	2.616745759794228	0.19384800051186124	0.775392002047445	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=CHN	2000-2024	26	8	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.6625741938333389	true							26					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag;leave_one_country_out=CHN;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v1_exclude_FRA_glm	C_IPW	leave_one_country_out_ap_exposure_v1	v1	FRA	ap_exposure_v1_score	log_odds	0.6215074694983665	-0.5502933472133248	1.793308286210058	0.29854540678118635	0.5970908135623727	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=FRA	2000-2024	33	8	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.6625741938333389	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag;leave_one_country_out=FRA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v1_exclude_GBR_glm	C_IPW	leave_one_country_out_ap_exposure_v1	v1	GBR	ap_exposure_v1_score	log_odds	0.80586622940666	-0.4373504804232641	2.049082939236584	0.20390916570208106	0.7559500618422296	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=GBR	2000-2024	33	8	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.6625741938333389	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag;leave_one_country_out=GBR;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v1_exclude_GTM_glm	C_IPW	leave_one_country_out_ap_exposure_v1	v1	GTM	ap_exposure_v1_score	log_odds	0.6154670798527146	-0.5064050985505124	1.7373392582559417	0.2822538717635875	0.9229005473793392	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=GTM	2000-2024	33	8	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.6625741938333389	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag;leave_one_country_out=GTM;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v1_exclude_JPN_glm	C_IPW	leave_one_country_out_ap_exposure_v1	v1	JPN	ap_exposure_v1_score	log_odds	0.9005511386100815	0.035477382405248226	1.765624894814915	0.04131237257118719	0.16524949028474875	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=JPN	2000-2024	33	8	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.6625741938333389	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag;leave_one_country_out=JPN;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
