panel_id	model_id	analysis_cohort	sensitivity_label	focal_exposure_family	excluded_country_iso3	estimate_term	effect_scale	effect_estimate	ci_lower	ci_upper	p_value	q_value	q_value_scope	stability_label	headline_eligibility	country_filter	year_window	n_country_year_cells	n_countries	covariates	exposure_formula_id	exposure_lambda	exposure_gamma	primary_effect_estimate	same_direction_as_primary	metric_name	metric_value	x_value	predicted_probability	amu_metric	standard_glm_warning_types	n_obs	ridge_effect_alpha_0p01	ridge_effect_alpha_0p1	ridge_effect_alpha_1p0	all_ridge_effects_negative	source_file	notes
primary_exposure_comparison	m7_primary_ipw_ap_exposure_v3_glm	C_IPW	primary_ap_exposure_v3	v3		ap_exposure_v3_score	log_odds	0.8672647702369334	-2.1959318500437504	3.930461390517617	0.5789471748025738	0.9491241860965852	within_model_reported_terms_bh_not_manuscript_wide_fdr	stable_under_leave_one_country_out	diagnostic_only_archive_context	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	34	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.867265								34					outputs/workflow/epi/panel_model_results.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
primary_exposure_comparison	m7_primary_ipw_ap_exposure_v2_glm	C_IPW	primary_ap_exposure_v2	v2		ap_exposure_v2_score	log_odds	1.3471860939611744	-0.3226178986232193	3.016990086545568	0.1138062172048382	0.4552248688193528	within_model_reported_terms_bh_not_manuscript_wide_fdr	stable_under_leave_one_country_out	diagnostic_only_archive_context	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	34	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.347186								34					outputs/workflow/epi/panel_model_results.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
primary_exposure_comparison	m7_primary_ipw_ap_exposure_v1_glm	C_IPW	primary_ap_exposure_v1	v1		ap_exposure_v1_score	log_odds	0.6625741938333389	-0.5331449874520364	1.8582933751187143	0.27744406927154386	0.9221175174987163	within_model_reported_terms_bh_not_manuscript_wide_fdr	stable_under_leave_one_country_out	diagnostic_only_archive_context	all_available_country_year_cells_with_complete_v1_covariates	2000-2024	34	9	ap_exposure_v1_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.662574								34					outputs/workflow/epi/panel_model_results.tsv	workflow_native_m7_primary_v1;response_uses_ipw_prevalence;aPExposure_V1_uses_DTP3_plus_years_since_first_routine_ap_intro_plus_booster_flag;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
primary_exposure_comparison	m7_legacy_dtp3_proxy_glm	C_IPW	legacy_dtp3_proxy	dtp3		dtp3_coverage	log_odds	-3.7306184559729267	-4.572945206835595	-2.888291705110259	3.932322263586751e-18	1.5729289054347003e-17	within_model_reported_terms_bh_not_manuscript_wide_fdr	stable_under_leave_one_country_out	diagnostic_only_archive_context	same_country_year_cells_as_primary_when_dtp3_present	2000-2024	34	9	dtp3_coverage_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	-3.730618								34					outputs/workflow/epi/panel_model_results.tsv	legacy_proxy_model_for_comparison_only;DTP3_not_interpreted_as_mechanistic_selection_pressure;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
cluster_robust_v3	m7_primary_ipw_ap_exposure_v3_cluster_robust	C_IPW	cluster_robust_ap_exposure_v3	v3		ap_exposure_v3_score	log_odds	0.8672647702369334	-2.1959318500437504	3.930461390517617	0.5789471748025738	0.9491241860965852	within_model_reported_terms_bh_not_manuscript_wide_fdr	stable_under_leave_one_country_out	diagnostic_only_archive_context	all_available_country_year_cells_with_complete_v3_covariates	2000-2024	34	9	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.867265								34					outputs/workflow/epi/panel_model_results.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;cluster_robust_se_by_country;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
cluster_robust_v2	m7_primary_ipw_ap_exposure_v2_cluster_robust	C_IPW	cluster_robust_ap_exposure_v2	v2		ap_exposure_v2_score	log_odds	1.3471860939611744	-0.3226178986232193	3.016990086545568	0.1138062172048382	0.4552248688193528	within_model_reported_terms_bh_not_manuscript_wide_fdr	stable_under_leave_one_country_out	diagnostic_only_archive_context	all_available_country_year_cells_with_complete_v2_covariates	2000-2024	34	9	ap_exposure_v2_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	1.347186								34					outputs/workflow/epi/panel_model_results.tsv	workflow_native_m7_primary_v2;response_uses_ipw_prevalence;aPExposure_V2_uses_DTP3_plus_curated_ap_timing_plus_booster_flag_plus_PRN_formulation_status;v2_known_fraction=1.000;cluster_robust_se_by_country;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_BRA_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	BRA	ap_exposure_v3_score	log_odds	3.347195716693566	1.6432456572307452	5.051145776156387	0.00011803411384625309	0.00047213645538501237	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=BRA	2000-2024	33	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=BRA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_CHN_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	CHN	ap_exposure_v3_score	log_odds	0.2622575841495161	-2.166270841851587	2.6907860101506196	0.8323714809216788	0.865540540077998	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=CHN	2000-2024	26	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							26					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=CHN;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_FRA_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	FRA	ap_exposure_v3_score	log_odds	1.0190234315508482	-1.5501317310924376	3.588178594194134	0.4369171415321773	0.5825561887095697	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=FRA	2000-2024	33	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=FRA;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
leave_one_country_out	m7_leave_one_country_out_ap_exposure_v3_exclude_GBR_glm	C_IPW	leave_one_country_out_ap_exposure_v3	v3	GBR	ap_exposure_v3_score	log_odds	0.8918100665868188	-2.125139058235442	3.9087591914090796	0.5623355360053334	0.8816370167942008	within_model_reported_terms_bh_not_manuscript_wide_fdr	matches_primary_direction	diagnostic_only_archive_context	exclude_country=GBR	2000-2024	33	8	ap_exposure_v3_score_z,log1p_reported_cases_z,post_covid_period,genomes_per_case_z	v1_lambda_1_gamma_0.5	1.0	0.5	0.8672647702369334	true							33					outputs/workflow/epi/panel_model_leave_one_country_out.tsv	workflow_native_m7_primary_v3;response_uses_ipw_prevalence;aPExposure_V3_uses_DTP3_plus_curated_ap_timing_plus_role_specific_product_metadata_on_routine_primary_and_booster_exposure;v3_known_fraction=0.588;leave_one_country_out=GBR;q_value_scope=within_model_reported_terms_bh_not_manuscript_wide_fdr
