scheme	n_replicates	tip_count_median	tip_count_min	tip_count_max	tip_count_q25	tip_count_q75	disrupted_tip_count_median	disrupted_tip_count_min	disrupted_tip_count_max	disrupted_tip_count_q25	disrupted_tip_count_q75	sampled_country_count_median	sampled_country_count_min	sampled_country_count_max	sampled_country_count_q25	sampled_country_count_q75	sampled_time_bin_count_median	sampled_time_bin_count_min	sampled_time_bin_count_max	sampled_time_bin_count_q25	sampled_time_bin_count_q75	sampled_study_block_count_median	sampled_study_block_count_min	sampled_study_block_count_max	sampled_study_block_count_q25	sampled_study_block_count_q75	sampled_subblock_count_median	sampled_subblock_count_min	sampled_subblock_count_max	sampled_subblock_count_q25	sampled_subblock_count_q75	fitch_origin_events_median	fitch_origin_events_min	fitch_origin_events_max	fitch_origin_events_q25	fitch_origin_events_q75	pastml_origin_events_median	pastml_origin_events_min	pastml_origin_events_max	pastml_origin_events_q25	pastml_origin_events_q75	pastml_strict_origin_events_median	pastml_strict_origin_events_min	pastml_strict_origin_events_max	pastml_strict_origin_events_q25	pastml_strict_origin_events_q75	pastml_compatible_origin_events_median	pastml_compatible_origin_events_min	pastml_compatible_origin_events_max	pastml_compatible_origin_events_q25	pastml_compatible_origin_events_q75	resampling_design_purpose	resampling_inference_scope	block_assignment_metadata_source	block_assignment_inventory_source	notes
country_balanced	4	162.0	162.0	162.0	162.0	162.0	21.5	19.0	27.0	19.75	24.0	27.0	27.0	27.0	27.0	27.0	9.0	9.0	9.0	9.0	9.0	85.0	83.0	89.0	83.0	87.5	129.0	125.0	131.0	127.25	130.25	8.0	6.0	9.0	7.5	8.25	0.0	0.0	10.0	0.0	2.5	0.0	0.0	10.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	representativeness_stress_test_only	diagnostic_stress_test_not_unbiased_population_resample	active_manifest_only	archived_inventory_not_used	seed=20260408;country_cap=10;time_cap=10;selected_tip_count=162;representativeness_stress_test_only_not_unbiased_population_resample;seed=20260409;country_cap=10;time_cap=10;selected_tip_count=162;representativeness_stress_test_only_not_unbiased_population_resample;seed=20260410;country_cap=10;time_cap=10;selected_tip_count=162;representativeness_stress_test_only_not_unbiased_population_resample;seed=20260411;country_cap=10;time_cap=10;selected_tip_count=162;representativeness_stress_test_only_not_unbiased_population_resample
study_block_balanced	10	1842.0	1842.0	1842.0	1842.0	1842.0	552.0	552.0	552.0	552.0	552.0	24.0	22.0	26.0	23.25	25.75	11.0	11.0	11.0	11.0	11.0	1713.0	1711.0	1715.0	1713.0	1714.0	1794.0	1788.0	1797.0	1792.25	1794.75	22.0	22.0	22.0	22.0	22.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	representativeness_stress_test_only	diagnostic_stress_test_not_unbiased_population_resample	active_manifest_only	archived_inventory_not_used	seed=20262408;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262409;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262410;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262411;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262412;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262413;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262414;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262415;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262416;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample;seed=20262417;country_cap=10;time_cap=10;selected_tip_count=1845;representativeness_stress_test_only_not_unbiased_population_resample
time_balanced	4	88.0	88.0	88.0	88.0	88.0	7.0	5.0	7.0	6.5	7.0	16.5	15.0	19.0	15.75	17.5	11.0	11.0	11.0	11.0	11.0	47.0	45.0	48.0	45.75	48.0	81.0	79.0	81.0	80.5	81.0	3.5	1.0	4.0	2.5	4.0	7.0	5.0	7.0	6.5	7.0	7.0	5.0	7.0	6.5	7.0	0.0	0.0	0.0	0.0	0.0	representativeness_stress_test_only	diagnostic_stress_test_not_unbiased_population_resample	active_manifest_only	archived_inventory_not_used	seed=20261408;country_cap=10;time_cap=10;selected_tip_count=88;representativeness_stress_test_only_not_unbiased_population_resample;seed=20261409;country_cap=10;time_cap=10;selected_tip_count=88;representativeness_stress_test_only_not_unbiased_population_resample;seed=20261410;country_cap=10;time_cap=10;selected_tip_count=88;representativeness_stress_test_only_not_unbiased_population_resample;seed=20261411;country_cap=10;time_cap=10;selected_tip_count=88;representativeness_stress_test_only_not_unbiased_population_resample
