comparison_dimension	category	full_interpretable_count	full_interpretable_fraction	tree_subset_count	tree_subset_fraction	absolute_fraction_gap	fraction_ratio_tree_to_full
country	USA	915	0.4500737825873094	887	0.49553072625698324	0.045456943669673844	1.1009988704704339
country	AUS	45	0.022134776192818496	9	0.005027932960893855	0.017106843231924643	0.2271508379888268
country	JPN	75	0.03689129365469749	38	0.021229050279329607	0.015662243375367882	0.5754487895716945
country	CHN	713	0.35071323167732416	615	0.3435754189944134	0.007137812682910749	0.9796477234440988
country	NZL	63	0.030988686669945892	63	0.03519553072625698	0.004206844056311089	1.1357541899441341
country	CAN	7	0.003443187407771766	0	0.0	0.003443187407771766	0.0
country	FIN	7	0.003443187407771766	1	0.0005586592178770949	0.002884528189894671	0.1622505985634477
country	SWE	9	0.004426955238563699	4	0.0022346368715083797	0.0021923183670553193	0.5047796399751706
country	ZAF	32	0.01574028529267093	32	0.017877094972067038	0.0021368096793961087	1.1357541899441341
country	TWN	5	0.002459419576979833	1	0.0005586592178770949	0.001900760359102738	0.2271508379888268
country	DNK	7	0.003443187407771766	4	0.0022346368715083797	0.0012085505362633862	0.6490023942537908
country	NLD	10	0.004918839153959666	7	0.003910614525139665	0.0010082246288200007	0.7950279329608939
country	CZE	14	0.006886374815543532	14	0.00782122905027933	0.0009348542347357982	1.1357541899441341
country	ARG	3	0.0014756517461878996	1	0.0005586592178770949	0.0009169925283108047	0.378584729981378
country	unknown	46	0.02262666010821446	42	0.02346368715083799	0.0008370270426235268	1.0369929560359485
country	FRA	14	0.006886374815543532	11	0.006145251396648044	0.0007411234188954875	0.8923782920989625
country	ESP	8	0.003935071323167732	6	0.0033519553072625698	0.0005831160159051624	0.8518156424581006
country	IND	8	0.003935071323167732	8	0.004469273743016759	0.0005342024198490272	1.1357541899441341
country	HKG	1	0.0004918839153959665	0	0.0	0.0004918839153959665	0.0
country	POL	2	0.000983767830791933	1	0.0005586592178770949	0.00042510861291483813	0.5678770949720671
country	GTM	5	0.002459419576979833	5	0.002793296089385475	0.0003338765124056421	1.1357541899441341
country	BRA	13	0.006394490900147565	12	0.0067039106145251395	0.00030941971437757447	1.0483884830253545
country	MEX	4	0.001967535661583866	4	0.0022346368715083797	0.0002671012099245136	1.1357541899441341
country	GBR	19	0.009345794392523364	17	0.009497206703910615	0.00015141231138725113	1.0162011173184358
country	DEU	2	0.000983767830791933	2	0.0011173184357541898	0.0001335506049622568	1.1357541899441341
country	ITA	2	0.000983767830791933	2	0.0011173184357541898	0.0001335506049622568	1.1357541899441341
country	KEN	2	0.000983767830791933	2	0.0011173184357541898	0.0001335506049622568	1.1357541899441341
country	HTI	1	0.0004918839153959665	1	0.0005586592178770949	6.67753024811284e-05	1.1357541899441341
country	NOR	1	0.0004918839153959665	1	0.0005586592178770949	6.67753024811284e-05	1.1357541899441341
lineage_proxy	unknown	2033	1.0	1790	1.0	0.0	1.0
mechanism_group	IS481 insertion	371	0.1824889326119036	371	0.20726256983240224	0.024773637220498634	1.135754189944134
mechanism_group	Other disruptions	56	0.027545499262174127	19	0.010614525139664804	0.016930974122509324	0.3853451715881883
mechanism_group	Intact	1426	0.7014264633546483	1229	0.6865921787709497	0.01483428458369862	0.9788512618803231
mechanism_group	Inversion / rearrangement	172	0.08460403344810624	171	0.09553072625698324	0.010926692808876995	1.1291509679095753
mechanism_group	Insufficient data	8	0.003935071323167732	0	0.0	0.003935071323167732	0.0
year_band	2015s	622	0.3059517953762912	585	0.3268156424581006	0.020863847081809384	1.0681932493847563
year_band	2010s	410	0.2016724053123463	388	0.21675977653631284	0.015087371223966556	1.074811282191034
year_band	2000s	99	0.04869650762420069	66	0.03687150837988827	0.01182499924431242	0.7571694599627561
year_band	1995s	34	0.016724053123462864	12	0.0067039106145251395	0.010020142508937725	0.4008544199802826
year_band	2005s	82	0.04033448106246926	64	0.035754189944134075	0.004580291118335182	0.8864422945905436
year_band	2020s	620	0.3049680275454993	553	0.3089385474860335	0.003970519940534212	1.0130194629663
year_band	2025s	29	0.01426463354648303	19	0.010614525139664804	0.003650108406818226	0.7441148141013292
year_band	1975s	12	0.005902606984751598	5	0.002793296089385475	0.0031093108953661234	0.47323091247672255
year_band	1970s	7	0.003443187407771766	1	0.0005586592178770949	0.002884528189894671	0.1622505985634477
year_band	1990s	13	0.006394490900147565	8	0.004469273743016759	0.0019252171571308057	0.6989256553502363
year_band	1985s	7	0.003443187407771766	4	0.0022346368715083797	0.0012085505362633862	0.6490023942537908
year_band	unknown	62	0.030496802754549926	56	0.03128491620111732	0.0007881134465673942	1.0258424941430888
year_band	1935s	5	0.002459419576979833	3	0.0016759776536312849	0.000783441923348548	0.6814525139664804
year_band	1945s	5	0.002459419576979833	3	0.0016759776536312849	0.000783441923348548	0.6814525139664804
year_band	1955s	2	0.000983767830791933	1	0.0005586592178770949	0.00042510861291483813	0.5678770949720671
year_band	1965s	4	0.001967535661583866	4	0.0022346368715083797	0.0002671012099245136	1.1357541899441341
year_band	1960s	3	0.0014756517461878996	3	0.0016759776536312849	0.0002003259074433853	1.1357541899441341
year_band	1980s	3	0.0014756517461878996	3	0.0016759776536312849	0.0002003259074433853	1.1357541899441341
year_band	1950s	14	0.006886374815543532	12	0.0067039106145251395	0.00018246420101839227	0.9735035913806863
