country_iso3	country_name	comparison_pre_epoch_id	comparison_post_epoch_id	pre_n_interpretable	pre_n_missing	post_n_interpretable	post_n_missing	pre_missing_fraction	post_missing_fraction	baseline_delta_interpretable_only	baseline_sign	sign_change_observed_within_grid	full_reversal_observed_within_grid	min_delta_for_sign_change	min_abs_delta_for_sign_change	min_delta_for_full_reversal	min_abs_delta_for_full_reversal	odds_multiplier_grid_values	odds_multiplier_sign_change_observed_within_grid	odds_multiplier_full_reversal_observed_within_grid	min_log2_odds_multiplier_distance_for_sign_change	pre_odds_multiplier_at_min_sign_change	post_odds_multiplier_at_min_sign_change	min_log2_odds_multiplier_distance_for_full_reversal	pre_odds_multiplier_at_min_full_reversal	post_odds_multiplier_at_min_full_reversal
AUS	Australia	aus_wp_only	aus_ap_with_prn	13.0	3.0	25.0	13.0	0.1875	0.34210526315789475	-0.2953846153846154	decrease	False	False					0.25,0.5,1,2,4,8	False	False						
JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	23.0	7.0	28.0	24.0	0.23333333333333334	0.46153846153846156	-0.14596273291925466	decrease	True	True	0.65	0.65	0.65	0.65	0.25,0.5,1,2,4,8	True	True	3.0	0.25	8.0	3.0	0.25	8.0
NZL	New Zealand	nzl_wp_only	nzl_ap_with_prn	12.0	0.0	51.0	0.0	0.0	0.0	0.45098039215686275	increase	False	False					0.25,0.5,1,2,4,8	False	False						
USA	United States	usa_wp_only	usa_ap_prn_background	21.0	2.0	896.0	23.0	0.08695652173913043	0.025027203482045703	0.3013392857142857	increase	False	False					0.25,0.5,1,2,4,8	False	False						
