event_type	country_iso3	country_name	event_year	year	relative_year	ipw_prevalence	naive_prevalence	n_genomes_prn_interpretable	n_prn_disrupted	n_origin_clade_descendants	n_origin_clades_active	n_new_origins_detected	observed_relative_years	notes
first_local_origin	FRA	France	2009	2006	-3							0	3	event_centered_window
first_local_origin	FRA	France	2009	2007	-2	0.0	0.0	1.0	0.0			0	3	event_centered_window
first_local_origin	FRA	France	2009	2008	-1	0.0	0.0	1.0	0.0			0	3	event_centered_window
first_local_origin	FRA	France	2009	2009	0	1.0	1.0	1.0	1.0	1.0	1.0	1	3	event_centered_window
first_local_origin	FRA	France	2009	2010	1							0	3	event_centered_window
first_local_origin	FRA	France	2009	2011	2							0	3	event_centered_window
first_local_origin	FRA	France	2009	2012	3							0	3	event_centered_window
first_local_origin	NZL	New Zealand	2012	2009	-3	0.0	0.0	3.0	0.0			0	7	event_centered_window
first_local_origin	NZL	New Zealand	2012	2010	-2	0.0	0.0	2.0	0.0			0	7	event_centered_window
first_local_origin	NZL	New Zealand	2012	2011	-1	0.0	0.0	2.0	0.0			0	7	event_centered_window
first_local_origin	NZL	New Zealand	2012	2012	0	1.0	1.0	10.0	10.0	10.0	4.0	3	7	event_centered_window
first_local_origin	NZL	New Zealand	2012	2013	1	1.0	1.0	2.0	2.0	2.0	1.0	0	7	event_centered_window
first_local_origin	NZL	New Zealand	2012	2014	2	1.0	1.0	2.0	2.0	2.0	1.0	0	7	event_centered_window
first_local_origin	NZL	New Zealand	2012	2015	3	0.5000731092385804	0.5	2.0	1.0	1.0	1.0	0	7	event_centered_window
first_local_origin	USA	United States	2009	2006	-3	0.0	0.0	2.0	0.0			0	7	event_centered_window
first_local_origin	USA	United States	2009	2007	-2	0.0	0.0	8.0	0.0			0	7	event_centered_window
first_local_origin	USA	United States	2009	2008	-1	0.0	0.0	5.0	0.0			0	7	event_centered_window
first_local_origin	USA	United States	2009	2009	0	0.1323596831645796	0.125	8.0	1.0	1.0	1.0	1	7	event_centered_window
first_local_origin	USA	United States	2009	2010	1	0.0629899393592617	0.1052631578947368	38.0	4.0	4.0	2.0	2	7	event_centered_window
first_local_origin	USA	United States	2009	2011	2	0.3971724545613747	0.3636363636363636	44.0	16.0	14.0	4.0	3	7	event_centered_window
first_local_origin	USA	United States	2009	2012	3	0.5406603383398287	0.5057471264367817	87.0	44.0	41.0	7.0	3	7	event_centered_window
first_prn_detection	AUS	Australia	1971	1968	-3							0	2	event_centered_window
first_prn_detection	AUS	Australia	1971	1969	-2							0	2	event_centered_window
first_prn_detection	AUS	Australia	1971	1970	-1							0	2	event_centered_window
first_prn_detection	AUS	Australia	1971	1971	0	0.5788973297901572	0.5	2.0	1.0			0	2	event_centered_window
first_prn_detection	AUS	Australia	1971	1972	1							0	2	event_centered_window
first_prn_detection	AUS	Australia	1971	1973	2							0	2	event_centered_window
first_prn_detection	AUS	Australia	1971	1974	3	0.0	0.0	1.0	0.0			0	2	event_centered_window
first_prn_detection	BRA	Brazil	2024	2021	-3							0	1	event_centered_window
first_prn_detection	BRA	Brazil	2024	2022	-2							0	1	event_centered_window
first_prn_detection	BRA	Brazil	2024	2023	-1							0	1	event_centered_window
first_prn_detection	BRA	Brazil	2024	2024	0	1.0	1.0	8.0	8.0			0	1	event_centered_window
first_prn_detection	BRA	Brazil	2024	2025	1							0	1	event_centered_window
first_prn_detection	BRA	Brazil	2024	2026	2							0	1	event_centered_window
first_prn_detection	BRA	Brazil	2024	2027	3							0	1	event_centered_window
first_prn_detection	CHN	China	2022	2019	-3	0.0	0.0	6.0	0.0			0	6	event_centered_window
first_prn_detection	CHN	China	2022	2020	-2	0.0	0.0	1.0	0.0			0	6	event_centered_window
first_prn_detection	CHN	China	2022	2021	-1	0.0	0.0	25.0	0.0			0	6	event_centered_window
first_prn_detection	CHN	China	2022	2022	0	0.2391505773732234	0.2777777777777778	36.0	10.0			0	6	event_centered_window
first_prn_detection	CHN	China	2022	2023	1	0.1048044295737554	0.1071428571428571	28.0	3.0			0	6	event_centered_window
first_prn_detection	CHN	China	2022	2024	2	0.0	0.0	25.0	0.0			0	6	event_centered_window
first_prn_detection	CHN	China	2022	2025	3							0	6	event_centered_window
first_prn_detection	FRA	France	2009	2006	-3							0	3	event_centered_window
first_prn_detection	FRA	France	2009	2007	-2	0.0	0.0	1.0	0.0			0	3	event_centered_window
first_prn_detection	FRA	France	2009	2008	-1	0.0	0.0	1.0	0.0			0	3	event_centered_window
first_prn_detection	FRA	France	2009	2009	0	1.0	1.0	1.0	1.0	1.0	1.0	1	3	event_centered_window
first_prn_detection	FRA	France	2009	2010	1							0	3	event_centered_window
first_prn_detection	FRA	France	2009	2011	2							0	3	event_centered_window
first_prn_detection	FRA	France	2009	2012	3							0	3	event_centered_window
first_prn_detection	JPN	Japan	1988	1985	-3							0	2	event_centered_window
first_prn_detection	JPN	Japan	1988	1986	-2							0	2	event_centered_window
first_prn_detection	JPN	Japan	1988	1987	-1							0	2	event_centered_window
first_prn_detection	JPN	Japan	1988	1988	0	1.0	1.0	1.0	1.0			0	2	event_centered_window
first_prn_detection	JPN	Japan	1988	1989	1							0	2	event_centered_window
first_prn_detection	JPN	Japan	1988	1990	2							0	2	event_centered_window
first_prn_detection	JPN	Japan	1988	1991	3	0.0	0.0	1.0	0.0			0	2	event_centered_window
first_prn_detection	NZL	New Zealand	2012	2009	-3	0.0	0.0	3.0	0.0			0	7	event_centered_window
first_prn_detection	NZL	New Zealand	2012	2010	-2	0.0	0.0	2.0	0.0			0	7	event_centered_window
first_prn_detection	NZL	New Zealand	2012	2011	-1	0.0	0.0	2.0	0.0			0	7	event_centered_window
first_prn_detection	NZL	New Zealand	2012	2012	0	1.0	1.0	10.0	10.0	10.0	4.0	3	7	event_centered_window
first_prn_detection	NZL	New Zealand	2012	2013	1	1.0	1.0	2.0	2.0	2.0	1.0	0	7	event_centered_window
first_prn_detection	NZL	New Zealand	2012	2014	2	1.0	1.0	2.0	2.0	2.0	1.0	0	7	event_centered_window
first_prn_detection	NZL	New Zealand	2012	2015	3	0.5000731092385804	0.5	2.0	1.0	1.0	1.0	0	7	event_centered_window
first_prn_detection	USA	United States	1939	1936	-3							0	1	event_centered_window
first_prn_detection	USA	United States	1939	1937	-2							0	1	event_centered_window
first_prn_detection	USA	United States	1939	1938	-1							0	1	event_centered_window
first_prn_detection	USA	United States	1939	1939	0	0.6285905693128689	0.5	2.0	1.0			0	1	event_centered_window
first_prn_detection	USA	United States	1939	1940	1							0	1	event_centered_window
first_prn_detection	USA	United States	1939	1941	2							0	1	event_centered_window
first_prn_detection	USA	United States	1939	1942	3							0	1	event_centered_window
