country_iso3	country_name	previous_epoch_id	next_epoch_id	previous_epoch_label	next_epoch_label	contrast_type	previous_prn_in_formulation	next_prn_in_formulation	previous_n_prn_interpretable	next_n_prn_interpretable	previous_naive_prevalence	next_naive_prevalence	previous_ipw_prevalence	next_ipw_prevalence	delta_naive_prevalence	delta_ipw_prevalence	previous_bound_lower	previous_bound_upper	next_bound_lower	next_bound_upper	bounds_direction	contrast_eligible	notes	n_total_previous_epoch	n_total_next_epoch	n_observed_previous_epoch	n_observed_next_epoch	propensity_median_interpretable	propensity_q05_interpretable	propensity_q95_interpretable	propensity_median_missing	propensity_q05_missing	propensity_q95_missing	propensity_crossfit_fraction	outcome_crossfit_fraction_observed	p01_weight_truncation	p99_weight_truncation	p05_weight_truncation	p95_weight_truncation	dr_estimator_label	aipw_estimator_status	aipw_out_of_bounds	previous_aipw_raw_prevalence	next_aipw_raw_prevalence	sign_stable_across_estimators	consistent_nonzero_delta_sign	weight_mean	weight_max	weight_q95	weight_q99	weight_fraction_gt_10	weight_fraction_gt_20	previous_naive_prevalence_dr	previous_ipw_cap20_prevalence	previous_ipw_untruncated_prevalence	previous_ipw_p01_p99_prevalence	previous_ipw_p05_p95_prevalence	previous_overlap_observed_prevalence	previous_aipw_prevalence	next_naive_prevalence_dr	next_ipw_cap20_prevalence	next_ipw_untruncated_prevalence	next_ipw_p01_p99_prevalence	next_ipw_p05_p95_prevalence	next_overlap_observed_prevalence	next_aipw_prevalence	delta_naive_prevalence_dr	delta_ipw_cap20_prevalence	delta_ipw_untruncated_prevalence	delta_ipw_p01_p99_prevalence	delta_ipw_p05_p95_prevalence	delta_overlap_observed_prevalence	delta_aipw_prevalence	min_abs_delta_for_full_reversal	min_abs_delta_for_sign_change	odds_multiplier_grid_values	odds_multiplier_sign_change_observed_within_grid	odds_multiplier_full_reversal_observed_within_grid	min_log2_odds_multiplier_distance_for_sign_change	pre_odds_multiplier_at_min_sign_change	post_odds_multiplier_at_min_sign_change	min_log2_odds_multiplier_distance_for_full_reversal	pre_odds_multiplier_at_min_full_reversal	post_odds_multiplier_at_min_full_reversal	identifiability_tier
AUS	Australia	aus_wp_only	aus_transition_mixed	Whole-cell era	Booster-only acellular transition period	wP_to_mixed_or_uncertain_aP	no	mixed	13	5	0.6153846153846154	0.6	0.7573644009768513	0.6871550656285209	-0.0153846153846154	-0.0702093353483304	0.5	0.6875	0.4285714285714285	0.7142857142857143	decrease_with_overlapping_bounds	False	stage1_primary_epoch; boundary_epoch																																																														bounded
AUS	Australia	aus_transition_mixed	aus_ap_with_prn	Booster-only acellular transition period	All-dose acellular era with PRN exposure	post-transition_shift	mixed	yes	5	25	0.6	0.32	0.6871550656285209	0.4820454979729497	-0.2799999999999999	-0.2051095676555712	0.4285714285714285	0.7142857142857143	0.2105263157894736	0.5526315789473685	decrease_with_overlapping_bounds	False	boundary_epoch; stage1_primary_epoch																																																														bounded
CHN	China	chn_wp_only	chn_transition_mixed	Whole-cell routine vaccination era	DTaP introduction and mixed transition period	wP_to_mixed_or_uncertain_aP	no	mixed	0	0							0.0	1.0			not_estimable	False	boundary_epoch																																																														bounded
CHN	China	chn_transition_mixed	chn_ap_mixed	DTaP introduction and mixed transition period	Post-switch acellular era with mixed PRN exposure	post-transition_shift	mixed	mixed	0	711		0.0182841068917018		0.0778237160772295					0.0153482880755608	0.1759149940968122	not_estimable	False	boundary_epoch; stage1_primary_epoch																																																														bounded
FRA	France	fra_wp_only	fra_ap_mixed	Whole-cell routine vaccination era	Mixed-brand acellular era	wP_to_mixed_or_uncertain_aP	no	mixed	0	14		0.0714285714285714		0.0337340632722521			0.0	1.0	0.0555555555555555	0.2777777777777778	not_estimable	False	boundary_epoch; stage1_primary_epoch																																																														bounded
GBR	United Kingdom	gbr_wp_only	gbr_ap_prn_positive	Whole-cell routine vaccination era	Acellular routine vaccination era with PRN exposure	wP_to_PRN-containing_aP	no	yes	8	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714285714285	0.0	0.4	no_change	True	stage1_primary_epoch																																																														bounded
JPN	Japan	jpn_pre2012_mixed_ap	jpn_ap_without_prn	Historical acellular era with mixed PRN exposure	Post-switch acellular era without PRN	mixed_or_partial_PRN-exposed_to_PRN-free_aP	mixed	no	23	47	0.217391304347826	0.0425531914893617	0.4870649932276476	0.0360539894153506	-0.1748381128584643	-0.451011003812297	0.1666666666666666	0.4	0.0384615384615384	0.1346153846153846	decrease_with_nonoverlapping_bounds	True	stage1_primary_epoch	30.0	52.0	23.0	47.0	0.934299578124003	0.49587920611145025	0.999	0.906894279591171	0.001	0.999	1.0	1.0	1.001001001001001	7.370478157664402	1.001001001001001	2.046184166263543	aipw_crossfit_bounded_fail_closed	ok	False	0.5769537857949623	0.04358202279125211	True	decrease	1.3112273605242157	8.80362341660254	2.046184166263543	7.370478157664402	0.0	0.0	0.21739130434782608	0.44240097868256506	0.44240097868256506	0.41853490032280866	0.30106477792263103	0.7507505409389227	0.5769537857949623	0.0425531914893617	0.03520359637783018	0.03520359637783018	0.03520359637783018	0.03836073781154869	0.0004528714533858073	0.04358202279125211	-0.17483811285846437	-0.4071973823047349	-0.4071973823047349	-0.3833313039449785	-0.26270404011108234	-0.7502976694855369	-0.5333717630037101			0.25,0.5,1,2,4,8	False	False							stable
NZL	New Zealand	nzl_wp_only	nzl_ap_with_prn	Long whole-cell schedule era	Acellular schedule era with PRN-containing products	wP_to_PRN-containing_aP	no	yes	12	51	0.0	0.4509803921568627	0.0	0.4662984540322986	0.4509803921568627	0.4662984540322986	0.0	0.0	0.4509803921568627	0.4509803921568627	increase_with_nonoverlapping_bounds	True	stage1_primary_epoch	12.0	51.0	12.0	51.0	0.999	0.999	0.999				0.0	1.0	1.001001001001001	1.001001001001001	1.001001001001001	1.001001001001001	aipw_crossfit_bounded_fail_closed	failed_out_of_bounds	True	-1.0010010010009715e-06	0.4509716886436216	True	increase	1.0010010010010009	1.001001001001001	1.001001001001001	1.001001001001001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.45098039215686275	0.45098039215686275	0.45098039215686275	0.45098039215686275	0.45098039215686275	0.45098039215686275	0.4509716886436216	0.45098039215686275	0.45098039215686275	0.45098039215686275	0.45098039215686275	0.45098039215686275	0.45098039215686275				0.25,0.5,1,2,4,8	False	False							stable
USA	United States	usa_wp_only	usa_transition_mixed	Whole-cell routine vaccination era	DTaP-preferred transition period	wP_to_mixed_or_uncertain_aP	no	mixed	21	6	0.2857142857142857	0.3333333333333333	0.5032808535610636	0.3029627095923048	0.0476190476190476	-0.2003181439687587	0.2608695652173913	0.3478260869565217	0.2222222222222222	0.5555555555555556	increase_with_overlapping_bounds	False	stage1_primary_epoch; boundary_epoch																																																														bounded
USA	United States	usa_transition_mixed	usa_ap_prn_background	DTaP-preferred transition period	Sustained acellular background with PRN exposure	post-transition_shift	mixed	yes	6	881	0.3333333333333333	0.5777525539160046	0.3029627095923048	0.5279777659639577	0.2444192205826712	0.2250150563716528	0.2222222222222222	0.5555555555555556	0.5538628944504896	0.5952121871599565	increase_with_overlapping_bounds	False	boundary_epoch; stage1_primary_epoch																																																														bounded
