origin_id	dominant_prn_event_id	package_country_iso3	local_tip_count	local_disrupted_tip_count	local_fitch_origin_events	local_pastml_origin_events	local_origin_consistency_status	preserves_single_origin_consistent_package	representative_covering_branch_support	local_country_count	local_year_min	local_year_max	local_mlst_st_count	dominant_event_disrupted_tip_count	dominant_event_disrupted_tip_share	origin_table_n_disrupted_descendants	origin_table_branch_support	origin_table_confidence	pairwise_distance_pairs	pairwise_distance_min	pairwise_distance_median	pairwise_distance_max	notes
origin_0001	prn_evt_coding_disrupted_is481__is481__gap1043	USA	24	10	1	1	split_across_multiple_local_origins	False	53	1	2010	2013	1	2	0.2	41			45	0.0	0.0	3.0000000000000004e-05	Pairwise distances are patristic distances from the local rooted SNP tree among disrupted local tips.
origin_0003	prn_evt_rearrangement__within_contig__cov58		47	20	2	20	no_local_origin_call	False		1	2010	2014	1	1	0.05	1			190	0.0	0.0	1e-05	Pairwise distances are patristic distances from the local rooted SNP tree among disrupted local tips.
origin_0007	prn_evt_coding_disrupted_is481__is481__gap1043	USA	16	3	2	1	no_local_origin_call	False		1	2009	2013	1	1	0.3333333333333333	1			3	1e-05	1e-05	2e-05	Pairwise distances are patristic distances from the local rooted SNP tree among disrupted local tips.
origin_0008	prn_evt_coding_disrupted_is481__is481__gap1043	USA	17	4	1	4	no_local_origin_call	False		2	2011	2012	1	0	0.0	11			6	0.0	0.0	0.0	Pairwise distances are patristic distances from the local rooted SNP tree among disrupted local tips.
