sample_id_canonical	run_accession	source	platform	reads_available	library_layout	fastq_ftp	fastq_md5	fastq_bytes	study_accession
SAMEA751165	ERR029981	step5_ena_linkage	SLX	true					
SAMEA751166	ERR028886	step5_ena_linkage	SLX	true					
SAMEA751167	ERR028883	step5_ena_linkage	SLX	true					
SAMEA751169	ERR030025	step5_ena_linkage	SLX	true					
SAMEA751171	ERR030017	step5_ena_linkage	SLX	true					
SAMEA751172	ERR030022	step5_ena_linkage	SLX	true					
SAMEA751173	ERR030001	step5_ena_linkage	SLX	true					
SAMEA751174	ERR030002	step5_ena_linkage	SLX	true					
SAMEA751175	ERR031091	step5_ena_linkage	SLX	true					
SAMEA751176	ERR030026	step5_ena_linkage	SLX	true					
SAMEA751177	ERR030023	step5_ena_linkage	SLX	true					
SAMEA751178	ERR030024	step5_ena_linkage	SLX	true					
SAMEA751179	ERR031098	step5_ena_linkage	SLX	true					
SAMEA751180	ERR031097	step5_ena_linkage	SLX	true					
SAMEA751181	ERR030027	step5_ena_linkage	SLX	true					
SAMEA751182	ERR030028	step5_ena_linkage	SLX	true					
SAMEA751183	ERR028880	step5_ena_linkage	SLX	true					
SAMEA751184	ERR031081	step5_ena_linkage	SLX	true					
SAMEA751185	ERR029986	step5_ena_linkage	SLX	true					
SAMEA751189	ERR029985	step5_ena_linkage	SLX	true					
SAMEA751196	ERR029988	step5_ena_linkage	SLX	true					
SAMEA751203	ERR029987	step5_ena_linkage	SLX	true					
SAMEA751209	ERR029990	step5_ena_linkage	SLX	true					
SAMEA751214	ERR029989	step5_ena_linkage	SLX	true					
SAMEA751218	ERR029992	step5_ena_linkage	SLX	true					
SAMEA751222	ERR029991	step5_ena_linkage	SLX	true					
SAMEA751239	ERR030020	step5_ena_linkage	SLX	true					
SAMEA751241	ERR030004	step5_ena_linkage	SLX	true					
SAMEA751244	ERR030018	step5_ena_linkage	SLX	true					
SAMEA751246	ERR030019	step5_ena_linkage	SLX	true					
SAMEA751255	ERR030009	step5_ena_linkage	SLX	true					
SAMEA751263	ERR031094	step5_ena_linkage	SLX	true					
SAMEA751268	ERR019595	step5_ena_linkage	SLX	true					
SAMEA751270	ERR019596	step5_ena_linkage	SLX	true					
SAMEA751288	ERR028826	step5_ena_linkage	SLX	true					
SAMEA751292	ERR028821	step5_ena_linkage	SLX	true					
SAMEA751294	ERR028829	step5_ena_linkage	SLX	true					
SAMEA751296	ERR028830	step5_ena_linkage	SLX	true					
SAMEA751307	ERR028831	step5_ena_linkage	SLX	true					
SAMEA751309	ERR028832	step5_ena_linkage	SLX	true					
SAMEA751314	ERR037415	step5_ena_linkage	SLX	true					
SAMEA751316	ERR037414	step5_ena_linkage	SLX	true					
SAMEA751318	ERR037417	step5_ena_linkage	SLX	true					
SAMEA751323	ERR037411	step5_ena_linkage	SLX	true					
SAMEA751325	ERR037408	step5_ena_linkage	SLX	true					
SAMEA751327	ERR037413	step5_ena_linkage	SLX	true					
SAMEA751329	ERR037412	step5_ena_linkage	SLX	true					
SAMEA751332	ERR037409	step5_ena_linkage	SLX	true					
SAMEA751334	ERR037418	step5_ena_linkage	SLX	true					
SAMEA751337	ERR028881	step5_ena_linkage	SLX	true					
SAMEA751339	ERR028827	step5_ena_linkage	SLX	true					
SAMEA751343	ERR028828	step5_ena_linkage	SLX	true					
SAMEA751345	ERR028839	step5_ena_linkage	SLX	true					
SAMEA751348	ERR028838	step5_ena_linkage	SLX	true					
SAMEA751350	ERR028837	step5_ena_linkage	SLX	true					
SAMEA751353	ERR028834	step5_ena_linkage	SLX	true					
SAMEA751354	ERR028824	step5_ena_linkage	SLX	true					
SAMEA751357	ERR028823	step5_ena_linkage	SLX	true					
SAMEA751360	ERR031099	step5_ena_linkage	SLX	true					
SAMEA751362	ERR031100	step5_ena_linkage	SLX	true					
SAMEA751364	ERR031101	step5_ena_linkage	SLX	true					
SAMEA751366	ERR031102	step5_ena_linkage	SLX	true					
SAMEA751368	ERR031092	step5_ena_linkage	SLX	true					
SAMEA751372	ERR028841	step5_ena_linkage	SLX	true					
SAMEA751374	ERR028840	step5_ena_linkage	SLX	true					
SAMEA751376	ERR019605	step5_ena_linkage	SLX	true					
SAMEA751380	ERR037410	step5_ena_linkage	SLX	true					
SAMEA751386	ERR019591	step5_ena_linkage	SLX	true					
SAMEA751394	ERR019600	step5_ena_linkage	SLX	true					
SAMEA751397	ERR019604	step5_ena_linkage	SLX	true					
SAMEA751401	ERR037399	step5_ena_linkage	SLX	true					
SAMEA751405	ERR028853	step5_ena_linkage	SLX	true					
SAMEA751409	ERR028842	step5_ena_linkage	SLX	true					
SAMEA751411	ERR028843	step5_ena_linkage	SLX	true					
SAMEA751413	ERR028844	step5_ena_linkage	SLX	true					
SAMEA751415	ERR028835	step5_ena_linkage	SLX	true					
SAMEA751417	ERR028836	step5_ena_linkage	SLX	true					
SAMEA751423	ERR037398	step5_ena_linkage	SLX	true					
SAMEA751424	ERR037400	step5_ena_linkage	SLX	true					
SAMEA751425	ERR037396	step5_ena_linkage	SLX	true					
SAMEA751428	ERR037427	step5_ena_linkage	SLX	true					
SAMEA751429	ERR037426	step5_ena_linkage	SLX	true					
SAMEA751430	ERR037422	step5_ena_linkage	SLX	true					
SAMEA751431	ERR037421	step5_ena_linkage	SLX	true					
SAMEA751432	ERR037420	step5_ena_linkage	SLX	true					
SAMEA751433	ERR037430	step5_ena_linkage	SLX	true					
SAMEA751434	ERR030021	step5_ena_linkage	SLX	true					
SAMEA751435	ERR028890	step5_ena_linkage	SLX	true					
SAMEA751437	ERR028888	step5_ena_linkage	SLX	true					
SAMEA751438	ERR030031;ERR361879	step5_ena_linkage	SLX	true					
SAMEA751439	ERR030032;ERR361880	step5_ena_linkage	SLX	true					
SAMEA751440	ERR030040;ERR361877	step5_ena_linkage	SLX	true					
SAMEA751441	ERR030030;ERR361878	step5_ena_linkage	SLX	true					
SAMEA751443	ERR030039;ERR361876	step5_ena_linkage	SLX	true					
SAMEA751444	ERR030037;ERR361874	step5_ena_linkage	SLX	true					
SAMEA751445	ERR030038;ERR361875	step5_ena_linkage	SLX	true					
SAMEA751446	ERR030036;ERR361873	step5_ena_linkage	SLX	true					
SAMEA751447	ERR029313	step5_ena_linkage	SLX	true					
SAMEA751448	ERR029312	step5_ena_linkage	SLX	true					
SAMEA751451	ERR029311	step5_ena_linkage	SLX	true					
SAMEA751452	ERR029310	step5_ena_linkage	SLX	true					
SAMEA751454	ERR028891	step5_ena_linkage	SLX	true					
SAMEA751456	ERR028893	step5_ena_linkage	SLX	true					
SAMEA751457	ERR028892	step5_ena_linkage	SLX	true					
SAMEA751458	ERR028885	step5_ena_linkage	SLX	true					
SAMEA751459	ERR028875	step5_ena_linkage	SLX	true					
SAMEA751460	ERR028889	step5_ena_linkage	SLX	true					
SAMEA751461	ERR029982	step5_ena_linkage	SLX	true					
SAMEA751462	ERR037405	step5_ena_linkage	SLX	true					
SAMEA751463	ERR037406	step5_ena_linkage	SLX	true					
SAMEA751464	ERR037407	step5_ena_linkage	SLX	true					
SAMEA751465	ERR037397	step5_ena_linkage	SLX	true					
SAMEA751466	ERR028895	step5_ena_linkage	SLX	true					
SAMEA751467	ERR028894	step5_ena_linkage	SLX	true					
SAMEA751468	ERR037403	step5_ena_linkage	SLX	true					
SAMEA751469	ERR037404	step5_ena_linkage	SLX	true					
SAMEA751470	ERR028848	step5_ena_linkage	SLX	true					
SAMEA751471	ERR028847	step5_ena_linkage	SLX	true					
SAMEA751472	ERR028859	step5_ena_linkage	SLX	true					
SAMEA751473	ERR028849	step5_ena_linkage	SLX	true					
SAMEA751474	ERR028855	step5_ena_linkage	SLX	true					
SAMEA751475	ERR028854	step5_ena_linkage	SLX	true					
SAMEA751476	ERR028857	step5_ena_linkage	SLX	true					
SAMEA751477	ERR028856	step5_ena_linkage	SLX	true					
SAMEA751479	ERR028864	step5_ena_linkage	SLX	true					
SAMEA751480	ERR028863	step5_ena_linkage	SLX	true					
SAMEA751481	ERR037402	step5_ena_linkage	SLX	true					
SAMEA751482	ERR031087	step5_ena_linkage	SLX	true					
SAMEA751484	ERR031096	step5_ena_linkage	SLX	true					
SAMEA751486	ERR029323	step5_ena_linkage	SLX	true					
SAMEA751487	ERR029320	step5_ena_linkage	SLX	true					
SAMEA751488	ERR029321	step5_ena_linkage	SLX	true					
SAMEA751489	ERR029307	step5_ena_linkage	SLX	true					
SAMEA751490	ERR029317	step5_ena_linkage	SLX	true					
SAMEA751491	ERR029305	step5_ena_linkage	SLX	true					
SAMEA751492	ERR029306	step5_ena_linkage	SLX	true					
SAMEA751493	ERR029314	step5_ena_linkage	SLX	true					
SAMEA751494	ERR028887	step5_ena_linkage	SLX	true					
SAMEA751497	ERR029294	step5_ena_linkage	SLX	true					
SAMEA751499	ERR028878	step5_ena_linkage	SLX	true					
SAMEA751500	ERR028879	step5_ena_linkage	SLX	true					
SAMEA751502	ERR028877	step5_ena_linkage	SLX	true					
SAMEA751503	ERR030033;ERR361870	step5_ena_linkage	SLX	true					
SAMEA751504	ERR030034;ERR361871	step5_ena_linkage	SLX	true					
SAMEA751505	ERR031095	step5_ena_linkage	SLX	true					
SAMEA751506	ERR028873	step5_ena_linkage	SLX	true					
SAMEA751507	ERR028874	step5_ena_linkage	SLX	true					
SAMEA751508	ERR028860	step5_ena_linkage	SLX	true					
SAMEA751509	ERR028861	step5_ena_linkage	SLX	true					
SAMEA751510	ERR028869	step5_ena_linkage	SLX	true					
SAMEA751511	ERR028870	step5_ena_linkage	SLX	true					
SAMEA751512	ERR028867	step5_ena_linkage	SLX	true					
SAMEA751513	ERR028868	step5_ena_linkage	SLX	true					
SAMEA751514	ERR028865	step5_ena_linkage	SLX	true					
SAMEA751515	ERR028866	step5_ena_linkage	SLX	true					
SAMEA751516	ERR031082	step5_ena_linkage	SLX	true					
SAMEA751517	ERR031083	step5_ena_linkage	SLX	true					
SAMEA751518	ERR031084	step5_ena_linkage	SLX	true					
SAMEA751519	ERR031085	step5_ena_linkage	SLX	true					
SAMEA751520	ERR028862	step5_ena_linkage	SLX	true					
SAMEA751521	ERR028872	step5_ena_linkage	SLX	true					
SAMEA751522	ERR029315	step5_ena_linkage	SLX	true					
SAMN02614586	SRR1167847	step5_sra_linkage	nan	nan					
SAMN02614590	SRR1167854	step5_sra_linkage	Illumina MiSeq	true					
SAMN02940632	SRR1524955	step5_sra_linkage	Illumina HiSeq	true					
SAMN03167927	SRR1644068;SRR1659009;SRR1659010;SRR3205764;SRR3441661;SRR3441662	step5_sra_linkage	nan	nan					
SAMN03216665	SRR3205765;SRR3441663;SRR3441664	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03216666	SRR3205766;SRR3441665;SRR3441666	step5_sra_linkage	nan	nan					
SAMN03216667	SRR3205767;SRR3441667;SRR3441668	step5_sra_linkage	nan	nan					
SAMN03216668	SRR3205768;SRR3441669;SRR3441670	step5_sra_linkage	nan	nan					
SAMN03216669	SRR3205769;SRR3441671;SRR3441672	step5_sra_linkage	nan	nan					
SAMN03216670	SRR3205770;SRR3441673;SRR3441674	step5_sra_linkage	nan	nan					
SAMN03216671	SRR3205771;SRR3441675;SRR3441676	step5_sra_linkage	nan	nan					
SAMN03216672	SRR3205772;SRR3441677	step5_sra_linkage	nan	nan					
SAMN03216673	SRR3205773;SRR3441678;SRR3441679	step5_sra_linkage	nan	nan					
SAMN03216674	SRR3205774;SRR3441680;SRR3441681	step5_sra_linkage	nan	nan					
SAMN03216675	SRR3205775;SRR3441682;SRR3441683	step5_sra_linkage	nan	nan					
SAMN03216676	SRR3205776;SRR3441684;SRR3441685	step5_sra_linkage	nan	nan					
SAMN03216677	SRR3205777;SRR3441686;SRR3441687	step5_sra_linkage	nan	nan					
SAMN03216678	SRR3205778;SRR3441688;SRR3441689	step5_sra_linkage	nan	nan					
SAMN03216679	SRR3205779;SRR3441690;SRR3441691	step5_sra_linkage	nan	nan					
SAMN03249361	SRR3205780;SRR3441692;SRR3441693	step5_sra_linkage	nan	nan					
SAMN03249362	SRR3205781;SRR3441694;SRR3441695	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03249363	SRR3205782;SRR3441696;SRR3441698	step5_sra_linkage	nan	nan					
SAMN03249364	SRR3205783;SRR3441699;SRR3441700	step5_sra_linkage	nan	nan					
SAMN03249365	SRR3205784;SRR3441701;SRR3441702;SRR3441703	step5_sra_linkage	nan	nan					
SAMN03249366	SRR3205785;SRR3441704;SRR3441705;SRR3441706	step5_sra_linkage	nan	nan					
SAMN03249367	SRR3205786;SRR3441707;SRR3441708;SRR3441709	step5_sra_linkage	nan	nan					
SAMN03249368	SRR3205787;SRR3441710;SRR3441711	step5_sra_linkage	nan	nan					
SAMN03249369	SRR3205788;SRR3441712;SRR3441713	step5_sra_linkage	nan	nan					
SAMN03249370	SRR3205789;SRR3441714;SRR3441715	step5_sra_linkage	nan	nan					
SAMN03249371	SRR3205790;SRR3441716;SRR3441717	step5_sra_linkage	nan	nan					
SAMN03249372	SRR3205791;SRR3441718;SRR3441719	step5_sra_linkage	nan	nan					
SAMN03249373	SRR3205792;SRR3441720;SRR3441721	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03249374	SRR3205793;SRR3441722;SRR3441723;SRR3441724	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03249375	SRR3205794;SRR5070901;SRR5071004;SRR5839116;SRR5839130;SRR5839526	step5_sra_linkage	nan	nan					
SAMN03249376	SRR3205795	step5_sra_linkage	nan	nan					
SAMN03249377	SRR2037314;SRR3441725;SRR3441726	step5_sra_linkage	nan	nan					
SAMN03249378	SRR2037315;SRR3441727;SRR3441728	step5_sra_linkage	nan	nan					
SAMN03249379	SRR2037316;SRR3441729;SRR3441730	step5_sra_linkage	nan	nan					
SAMN03249380	SRR2037317;SRR3441731;SRR3441732	step5_sra_linkage	nan	nan					
SAMN03251820	SRR3205796;SRR3441733;SRR3441734	step5_sra_linkage	nan	nan					
SAMN03366100	SRR3205797	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03455331	SRR5070779;SRR5070788;SRR5825970;SRR5825973	step5_sra_linkage	nan	nan					
SAMN03455332	SRR5070728;SRR5071069;SRR5828164;SRR5828174;SRR5828175	step5_sra_linkage	nan	nan					
SAMN03455333	SRR5070720;SRR5070941;SRR5828160;SRR5828170	step5_sra_linkage	nan	nan					
SAMN03455334	SRR5070842;SRR5070847	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03455335	SRR5828163;SRR5828171;SRR9006133	step5_sra_linkage	nan	nan					
SAMN03455336	SRR5070807;SRR5070893;SRR5826164;SRR5826169	step5_sra_linkage	nan	nan					
SAMN03455337	SRR5070756;SRR5070796;SRR5826157;SRR5826161	step5_sra_linkage	nan	nan					
SAMN03455338	SRR5070830;SRR5070883;SRR5826156;SRR5826159;SRR5826165	step5_sra_linkage	nan	nan					
SAMN03455339	SRR5070765;SRR5070887;SRR5826167;SRR5826168	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03455340	SRR5070689;SRR5070811;SRR5826154;SRR5826163	step5_sra_linkage	nan	nan					
SAMN03455341	SRR5070927;SRR5070983;SRR5826158;SRR5826166	step5_sra_linkage	nan	nan					
SAMN03455342	SRR5070773;SRR5070804;SRR5826155;SRR5826162	step5_sra_linkage	nan	nan					
SAMN03455343	SRR5070831;SRR5070909;SRR5829557;SRR5829558	step5_sra_linkage	nan	nan					
SAMN03455344	SRR5070850;SRR5071054;SRR5829563;SRR5829572	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03455345	SRR5070660;SRR5070764;SRR5829562;SRR5829569	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03455346	SRR5070735;SRR5070918;SRR5829566;SRR5829568	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03455347	SRR5070814;SRR5070952	step5_sra_linkage	nan	nan					
SAMN03455348	SRR5070864;SRR5071003;SRR5829682;SRR5829686	step5_sra_linkage	nan	nan					
SAMN03455349	SRR5070715;SRR5070731;SRR5829679;SRR5829681	step5_sra_linkage	nan	nan					
SAMN03455350	SRR5070762;SRR5071059;SRR5829676;SRR5829687	step5_sra_linkage	nan	nan					
SAMN03455351	SRR5070981;SRR5071010;SRR5833680;SRR5833681	step5_sra_linkage	nan	nan					
SAMN03455352	SRR5070724;SRR5070942;SRR5833672;SRR5833679	step5_sra_linkage	nan	nan					
SAMN03455353	SRR5070812;SRR5071046;SRR5833684;SRR5833686	step5_sra_linkage	nan	nan					
SAMN03455354	SRR5070787;SRR5070833;SRR5833677;SRR5833682	step5_sra_linkage	nan	nan					
SAMN03455355	SRR5070961;SRR5071073;SRR5833673;SRR5833685	step5_sra_linkage	nan	nan					
SAMN03455356	SRR5070753;SRR5071026;SRR5829355;SRR5829361	step5_sra_linkage	nan	nan					
SAMN03455357	SRR5070972;SRR5070988;SRR5829352;SRR5829358	step5_sra_linkage	nan	nan					
SAMN03455358	SRR5070669;SRR5071042;SRR5829398;SRR5829404	step5_sra_linkage	nan	nan					
SAMN03455359	SRR5070757;SRR5071065;SRR5829400;SRR5829401	step5_sra_linkage	nan	nan					
SAMN03455360	SRR5070758;SRR5070853;SRR5070964;SRR5070975;SRR5829403;SRR5829412	step5_sra_linkage	nan	nan					
SAMN03455361	SRR5070682;SRR5070687;SRR5829402;SRR5829406;SRR5829408	step5_sra_linkage	nan	nan					
SAMN03455362	SRR5070672;SRR5071050;SRR5838388;SRR5838399	step5_sra_linkage	nan	nan					
SAMN03455363	SRR5071016;SRR5071037;SRR5838389;SRR5838394	step5_sra_linkage	nan	nan					
SAMN03455364	SRR5070686;SRR5070726;SRR5070827;SRR5071039;SRR5839127;SRR5839129	step5_sra_linkage	nan	nan					
SAMN03455365	SRR5070737;SRR5070819;SRR5070940;SRR5070943;SRR5856168;SRR5856176;SRR5856179	step5_sra_linkage	nan	nan					
SAMN03455366	SRR5070699;SRR5070970;SRR5856173;SRR5856175	step5_sra_linkage	nan	nan					
SAMN03455367	SRR5070803;SRR5070921;SRR5070954;SRR5070992;SRR5851806;SRR5851811;SRR5851815	step5_sra_linkage	nan	nan					
SAMN03455368	SRR5070797;SRR5070875;SRR5070908;SRR5071063;SRR5851810;SRR5851813	step5_sra_linkage	nan	nan					
SAMN03455369	SRR12168842;SRR5234777;SRR5851466;SRR5851488	step5_sra_linkage	nan	nan					
SAMN03455370	SRR5070696;SRR5070984;SRR5851458;SRR5851471;SRR5851483	step5_sra_linkage	nan	nan					
SAMN03455371	SRR5070781;SRR5070993;SRR5851479;SRR5851480	step5_sra_linkage	nan	nan					
SAMN03455372	SRR5070701;SRR5070870;SRR5851463;SRR5851485	step5_sra_linkage	nan	nan					
SAMN03464271	SRR5070834;SRR5071002;SRR5829561;SRR5829565;SRR5829571	step5_sra_linkage	Illumina MiSeq; PacBio	true					
SAMN03464272	SRR5070800;SRR5070863;SRR5833675;SRR5833687	step5_sra_linkage	nan	nan					
SAMN03464273	SRR5070713;SRR5070809;SRR5829399;SRR5829405	step5_sra_linkage	nan	nan					
SAMN03464274	SRR5070829;SRR5070962;SRR5829717;SRR5829730	step5_sra_linkage	nan	nan					
SAMN03464275	SRR5070763;SRR5071009;SRR5853109;SRR5853119	step5_sra_linkage	nan	nan					
SAMN03464276	SRR5070685;SRR5070880;SRR5853112;SRR5853113;SRR5853116	step5_sra_linkage	nan	nan					
SAMN03464277	SRR5070769;SRR5070789;SRR5071011;SRR5071033;SRR5853104;SRR5853111	step5_sra_linkage	nan	nan					
SAMN03464278	SRR5070747;SRR5070802;SRR5852289;SRR5852290	step5_sra_linkage	nan	nan					
SAMN03464279	SRR5070691;SRR5070933;SRR5851459;SRR5851474	step5_sra_linkage	nan	nan					
SAMN03464280	SRR12168841;SRR5070670;SRR5071048	step5_sra_linkage	nan	nan					
SAMN03464281	SRR5070681;SRR5070836;SRR5070958;SRR5071061;SRR5902555;SRR5902570	step5_sra_linkage	nan	nan					
SAMN03464282	SRR5829751	step5_sra_linkage	nan	nan					
SAMN03702609	SRR5070693;SRR5071001;SRR5825964;SRR5825971	step5_sra_linkage	nan	nan					
SAMN03702610	SRR5070932;SRR5070999;SRR5825972;SRR5825974;SRR5825975	step5_sra_linkage	nan	nan					
SAMN03702611	SRR5070979;SRR5071038;SRR5828161;SRR5828162	step5_sra_linkage	PacBio RSII; Illumina HiSeq	true					
SAMN03702612	SRR5070725;SRR5070774;SRR5828169;SRR5828172	step5_sra_linkage	nan	nan					
SAMN03702613	SRR5070712;SRR5070740;SRR5828165;SRR5828168	step5_sra_linkage	nan	nan					
SAMN03702614	SRR5070914;SRR5071024;SRR5828166;SRR5828173	step5_sra_linkage	nan	nan					
SAMN03702615	SRR5070768;SRR5071014;SRR5826160;SRR5828167	step5_sra_linkage	PacBio RSII; Illumina HiSeq	true					
SAMN03702616	SRR5070732;SRR5829559;SRR5829570	step5_sra_linkage	PacBio RSII; Illumina MiSeq	true					
SAMN03702617	SRR5071015;SRR5829675;SRR5829678	step5_sra_linkage	PacBio RSII; Illumina MiSeq	true					
SAMN03702618	SRR5071028;SRR5833676;SRR5833678	step5_sra_linkage	nan	nan					
SAMN03702619	SRR5070986;SRR5833674;SRR5833683	step5_sra_linkage	nan	nan					
SAMN03702620	SRR5070676;SRR5829349;SRR5829350	step5_sra_linkage	nan	nan					
SAMN03702621	SRR5070760;SRR5829347;SRR5829357	step5_sra_linkage	nan	nan					
SAMN03702622	SRR5070776;SRR5829353;SRR5829356	step5_sra_linkage	nan	nan					
SAMN03702623	SRR5070785;SRR5829359;SRR5829360	step5_sra_linkage	PacBio RSII; Illumina MiSeq	true					
SAMN03702624	SRR5070848;SRR5829354;SRR5829362	step5_sra_linkage	nan	nan					
SAMN03702625	SRR5070799;SRR5829348;SRR5829351	step5_sra_linkage	nan	nan					
SAMN03702626	SRR5070662;SRR5829407;SRR5829409	step5_sra_linkage	nan	nan					
