sample_id_canonical	run_accession	source	platform	reads_available	library_layout	fastq_ftp	fastq_md5	fastq_bytes	study_accession
SAMD00328237	DRR300236	step5_ena_linkage	Illumina NovaSeq 6000; PacBio RSII	true					
SAMD00549575	DRR445791	step5_ena_linkage	Illumina Novaseq 6000; PacBio Sequel I	true					
SAMD00570813	DRR428489	step5_ena_linkage	Illumina Novaseq 6000; PacBio Sequel I	true					
SAMD00892041	DRR902026	step5_ena_linkage	Illumina iSeq	true					
SAMD00892044	DRR902029	step5_ena_linkage	Illumina iSeq	true					
SAMD01593369	DRR705527;DRR707961	step5_ena_linkage	Illumina; Nanopore	true					
SAMD01593370	DRR705528;DRR707962	step5_ena_linkage	Illumina; Nanopore	true					
SAMD01593374	DRR705532;DRR707966	step5_ena_linkage	Illumina; Nanopore	true					
SAMD01593376	DRR705534;DRR707968	step5_ena_linkage	Illumina; Nanopore	true					
SAMEA117660713	ERR14335769	step5_ena_linkage	Illumina NextSeq 500	true					
SAMEA1931276	ERR361869	step5_ena_linkage	SLX	true					
SAMEA1931344	ERR361831	step5_ena_linkage	SLX	true					
SAMEA1931346	ERR361845	step5_ena_linkage	SLX	true					
SAMEA1931347	ERR361851	step5_ena_linkage	SLX	true					
SAMEA1931348	ERR361856	step5_ena_linkage	SLX	true					
SAMEA1931350	ERR361857	step5_ena_linkage	SLX	true					
SAMEA1931351	ERR361860	step5_ena_linkage	SLX	true					
SAMEA1931450	ERR361838	step5_ena_linkage	SLX	true					
SAMEA1931507	ERR361847	step5_ena_linkage	SLX	true					
SAMEA1931536	ERR361821	step5_ena_linkage	SLX	true					
SAMEA1931537	ERR361837	step5_ena_linkage	SLX	true					
SAMEA1931718	ERR361826	step5_ena_linkage	SLX	true					
SAMEA1931720	ERR361866	step5_ena_linkage	SLX	true					
SAMEA1931747	ERR361829	step5_ena_linkage	SLX	true					
SAMEA1931748	ERR361832	step5_ena_linkage	SLX	true					
SAMEA1931798	ERR361833	step5_ena_linkage	SLX	true					
SAMEA1931801	ERR361854	step5_ena_linkage	SLX	true					
SAMEA1931802	ERR361849	step5_ena_linkage	SLX	true					
SAMEA1931867	ERR361827	step5_ena_linkage	SLX	true					
SAMEA1931870	ERR361865	step5_ena_linkage	SLX	true					
SAMEA1931871	ERR361868	step5_ena_linkage	SLX	true					
SAMEA1933004	ERR361825	step5_ena_linkage	SLX	true					
SAMEA1933007	ERR361840	step5_ena_linkage	SLX	true					
SAMEA1933040	ERR361846	step5_ena_linkage	SLX	true					
SAMEA1986111	ERR361855	step5_ena_linkage	SLX	true					
SAMEA2015291	ERR361823	step5_ena_linkage	SLX	true					
SAMEA2015293	ERR361852	step5_ena_linkage	SLX	true					
SAMEA2015294	ERR361850	step5_ena_linkage	SLX	true					
SAMEA2015295	ERR361848	step5_ena_linkage	SLX	true					
SAMEA2015299	ERR361867	step5_ena_linkage	SLX	true					
SAMEA2035349	ERR361828	step5_ena_linkage	SLX	true					
SAMEA3178014	ERR849505	step5_ena_linkage	PacBio	true					
SAMEA3178015	ERR768071	step5_ena_linkage	PacBio	true					
SAMEA3354379	ERR861945;ERR861946	step5_ena_linkage	PacBio	true					
SAMEA3643328	ERR1200664	step5_ena_linkage	PacBio	true					
SAMEA3672884	ERR1200665	step5_ena_linkage	PacBio	true					
SAMEA3871515	ERR1274624	step5_ena_linkage	SLX	true					
SAMEA3923583	ERR1475873	step5_ena_linkage	PacBio	true					
SAMEA3923584	ERR1475874	step5_ena_linkage	PacBio	true					
SAMEA3923585	ERR1475875	step5_ena_linkage	PacBio	true					
SAMEA3923586	ERR1475876	step5_ena_linkage	PacBio	true					
SAMEA3936801	ERR1543219	step5_ena_linkage	PacBio	true					
SAMEA751125	ERR029326	step5_ena_linkage	SLX	true					
SAMEA751126	ERR029325	step5_ena_linkage	SLX	true					
SAMEA751127	ERR029324	step5_ena_linkage	SLX	true					
SAMEA751128	ERR029329	step5_ena_linkage	SLX	true					
SAMEA751129	ERR029319	step5_ena_linkage	SLX	true					
SAMEA751130	ERR029318	step5_ena_linkage	SLX	true					
SAMEA751131	ERR029327	step5_ena_linkage	SLX	true					
SAMEA751132	ERR029334	step5_ena_linkage	SLX	true					
SAMEA751133	ERR029333	step5_ena_linkage	SLX	true					
SAMEA751134	ERR031086	step5_ena_linkage	SLX	true					
SAMEA751138	ERR029299	step5_ena_linkage	SLX	true					
SAMEA751141	ERR029300	step5_ena_linkage	SLX	true					
SAMEA751142	ERR029301	step5_ena_linkage	SLX	true					
SAMEA751143	ERR031089	step5_ena_linkage	SLX	true					
SAMEA751144	ERR031088	step5_ena_linkage	SLX	true					
SAMEA751145	ERR029994	step5_ena_linkage	SLX	true					
SAMEA751146	ERR037425	step5_ena_linkage	SLX	true					
SAMEA751147	ERR029996	step5_ena_linkage	SLX	true					
SAMEA751148	ERR029995	step5_ena_linkage	SLX	true					
SAMEA751149	ERR029998	step5_ena_linkage	SLX	true					
SAMEA751150	ERR029997	step5_ena_linkage	SLX	true					
SAMEA751151	ERR030000	step5_ena_linkage	SLX	true					
SAMEA751152	ERR029999	step5_ena_linkage	SLX	true					
SAMEA751154	ERR037423	step5_ena_linkage	SLX	true					
SAMEA751155	ERR028882	step5_ena_linkage	SLX	true					
SAMEA751156	ERR029339	step5_ena_linkage	SLX	true					
SAMEA751157	ERR029340	step5_ena_linkage	SLX	true					
SAMEA751158	ERR029330	step5_ena_linkage	SLX	true					
SAMEA751159	ERR029331	step5_ena_linkage	SLX	true					
SAMEA751160	ERR029335	step5_ena_linkage	SLX	true					
SAMEA751161	ERR029336	step5_ena_linkage	SLX	true					
SAMEA751162	ERR029337	step5_ena_linkage	SLX	true					
SAMEA751163	ERR029338	step5_ena_linkage	SLX	true					
SAMEA751164	ERR029332	step5_ena_linkage	SLX	true					
