input_accession	resolved_accession	status	fasta_path	note	original_status	original_fasta_path
GCF_004008975.1	GCF_004008975.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_004008975.1.fasta	assembly_index_exact:GCF_004008975.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_004008975.1/GCF_004008975.1_ASM400897v1_genomic.fna
GCF_001013565.1	GCF_001013565.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001013565.1.fasta	assembly_index_exact:GCF_001013565.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001013565.1/GCF_001013565.1_BPD420_genomic.fna
GCF_001307525.1	GCF_001307525.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307525.1.fasta	assembly_index_exact:GCF_001307525.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307525.1/GCF_001307525.1_ASM130752v1_genomic.fna
GCF_001307565.1	GCF_001307565.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307565.1.fasta	assembly_index_exact:GCF_001307565.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307565.1/GCF_001307565.1_ASM130756v1_genomic.fna
GCF_001307585.1	GCF_001307585.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307585.1.fasta	assembly_index_exact:GCF_001307585.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307585.1/GCF_001307585.1_ASM130758v1_genomic.fna
GCF_001307605.1	GCF_001307605.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307605.1.fasta	assembly_index_exact:GCF_001307605.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307605.1/GCF_001307605.1_ASM130760v1_genomic.fna
GCF_001307625.1	GCF_001307625.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307625.1.fasta	assembly_index_exact:GCF_001307625.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307625.1/GCF_001307625.1_ASM130762v1_genomic.fna
GCF_001307645.1	GCF_001307645.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307645.1.fasta	assembly_index_exact:GCF_001307645.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307645.1/GCF_001307645.1_ASM130764v1_genomic.fna
GCF_001307665.1	GCF_001307665.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307665.1.fasta	assembly_index_exact:GCF_001307665.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307665.1/GCF_001307665.1_ASM130766v1_genomic.fna
GCF_001307685.1	GCF_001307685.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307685.1.fasta	assembly_index_exact:GCF_001307685.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307685.1/GCF_001307685.1_ASM130768v1_genomic.fna
GCF_001307705.1	GCF_001307705.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307705.1.fasta	assembly_index_exact:GCF_001307705.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307705.1/GCF_001307705.1_ASM130770v1_genomic.fna
GCF_001307725.1	GCF_001307725.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307725.1.fasta	assembly_index_exact:GCF_001307725.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307725.1/GCF_001307725.1_ASM130772v1_genomic.fna
GCF_001307745.1	GCF_001307745.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001307745.1.fasta	assembly_index_exact:GCF_001307745.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001307745.1/GCF_001307745.1_ASM130774v1_genomic.fna
GCF_001509895.1	GCF_001509895.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001509895.1.fasta	assembly_index_exact:GCF_001509895.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001509895.1/GCF_001509895.1_ASM150989v1_genomic.fna
GCF_001509915.1	GCF_001509915.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001509915.1.fasta	assembly_index_exact:GCF_001509915.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001509915.1/GCF_001509915.1_ASM150991v1_genomic.fna
GCF_001558395.1	GCF_001558395.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001558395.2.fasta	assembly_index_version_fallback:GCF_001558395.1->GCA_001558395.2	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001558395.1/GCF_001558395.1_ASM155839v2_genomic.fna
GCF_001601775.1	GCF_001601775.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001601775.1.fasta	assembly_index_exact:GCF_001601775.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001601775.1/GCF_001601775.1_ASM160177v1_genomic.fna
GCF_001601785.1	GCF_001601785.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001601785.1.fasta	assembly_index_exact:GCF_001601785.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001601785.1/GCF_001601785.1_ASM160178v1_genomic.fna
GCF_001605035.1	GCF_001605035.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605035.1.fasta	assembly_index_exact:GCF_001605035.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605035.1/GCF_001605035.1_ASM160503v1_genomic.fna
