input_accession	resolved_accession	status	fasta_path	note	original_status	original_fasta_path
GCF_001605055.1	GCF_001605055.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605055.1.fasta	assembly_index_exact:GCF_001605055.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605055.1/GCF_001605055.1_ASM160505v1_genomic.fna
GCF_001605075.1	GCF_001605075.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605075.1.fasta	assembly_index_exact:GCF_001605075.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605075.1/GCF_001605075.1_ASM160507v1_genomic.fna
GCF_001605095.1	GCF_001605095.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605095.1.fasta	assembly_index_exact:GCF_001605095.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605095.1/GCF_001605095.1_ASM160509v1_genomic.fna
GCF_001605115.1	GCF_001605115.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605115.1.fasta	assembly_index_exact:GCF_001605115.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605115.1/GCF_001605115.1_ASM160511v1_genomic.fna
GCF_001605135.1	GCF_001605135.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605135.1.fasta	assembly_index_exact:GCF_001605135.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605135.1/GCF_001605135.1_ASM160513v1_genomic.fna
GCF_001605155.1	GCF_001605155.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605155.1.fasta	assembly_index_exact:GCF_001605155.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605155.1/GCF_001605155.1_ASM160515v1_genomic.fna
GCF_001605175.1	GCF_001605175.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605175.1.fasta	assembly_index_exact:GCF_001605175.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605175.1/GCF_001605175.1_ASM160517v1_genomic.fna
GCF_001605195.1	GCF_001605195.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605195.1.fasta	assembly_index_exact:GCF_001605195.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605195.1/GCF_001605195.1_ASM160519v1_genomic.fna
GCF_001605215.1	GCF_001605215.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605215.1.fasta	assembly_index_exact:GCF_001605215.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605215.1/GCF_001605215.1_ASM160521v1_genomic.fna
GCF_001605235.1	GCF_001605235.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605235.1.fasta	assembly_index_exact:GCF_001605235.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605235.1/GCF_001605235.1_ASM160523v1_genomic.fna
GCF_001605255.1	GCF_001605255.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605255.1.fasta	assembly_index_exact:GCF_001605255.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605255.1/GCF_001605255.1_ASM160525v1_genomic.fna
GCF_001605275.1	GCF_001605275.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605275.1.fasta	assembly_index_exact:GCF_001605275.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605275.1/GCF_001605275.1_ASM160527v1_genomic.fna
GCF_001605295.1	GCF_001605295.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605295.1.fasta	assembly_index_exact:GCF_001605295.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605295.1/GCF_001605295.1_ASM160529v1_genomic.fna
GCF_001605345.1	GCF_001605345.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605345.1.fasta	assembly_index_exact:GCF_001605345.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605345.1/GCF_001605345.1_ASM160534v1_genomic.fna
GCF_001605365.1	GCF_001605365.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605365.1.fasta	assembly_index_exact:GCF_001605365.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605365.1/GCF_001605365.1_ASM160536v1_genomic.fna
GCF_001605385.1	GCF_001605385.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605385.1.fasta	assembly_index_exact:GCF_001605385.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605385.1/GCF_001605385.1_ASM160538v1_genomic.fna
GCF_001605405.1	GCF_001605405.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605405.1.fasta	assembly_index_exact:GCF_001605405.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605405.1/GCF_001605405.1_ASM160540v1_genomic.fna
GCF_001605425.1	GCF_001605425.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605425.1.fasta	assembly_index_exact:GCF_001605425.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605425.1/GCF_001605425.1_ASM160542v1_genomic.fna
GCF_001605445.1	GCF_001605445.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605445.1.fasta	assembly_index_exact:GCF_001605445.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605445.1/GCF_001605445.1_ASM160544v1_genomic.fna
GCF_001605465.1	GCF_001605465.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605465.1.fasta	assembly_index_exact:GCF_001605465.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605465.1/GCF_001605465.1_ASM160546v1_genomic.fna
GCF_001605485.1	GCF_001605485.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605485.1.fasta	assembly_index_exact:GCF_001605485.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605485.1/GCF_001605485.1_ASM160548v1_genomic.fna
GCF_001605505.1	GCF_001605505.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605505.1.fasta	assembly_index_exact:GCF_001605505.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605505.1/GCF_001605505.1_ASM160550v1_genomic.fna
GCF_001605525.1	GCF_001605525.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605525.1.fasta	assembly_index_exact:GCF_001605525.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605525.1/GCF_001605525.1_ASM160552v1_genomic.fna
GCF_001605545.1	GCF_001605545.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605545.1.fasta	assembly_index_exact:GCF_001605545.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605545.1/GCF_001605545.1_ASM160554v1_genomic.fna
GCF_001605565.1	GCF_001605565.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605565.1.fasta	assembly_index_exact:GCF_001605565.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605565.1/GCF_001605565.1_ASM160556v1_genomic.fna
GCF_001605585.1	GCF_001605585.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605585.1.fasta	assembly_index_exact:GCF_001605585.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605585.1/GCF_001605585.1_ASM160558v1_genomic.fna
GCF_001605605.1	GCF_001605605.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605605.1.fasta	assembly_index_exact:GCF_001605605.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605605.1/GCF_001605605.1_ASM160560v1_genomic.fna
GCF_001605625.1	GCF_001605625.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605625.1.fasta	assembly_index_exact:GCF_001605625.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605625.1/GCF_001605625.1_ASM160562v1_genomic.fna
GCF_001605645.1	GCF_001605645.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605645.1.fasta	assembly_index_exact:GCF_001605645.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605645.1/GCF_001605645.1_ASM160564v1_genomic.fna
GCF_001605665.1	GCF_001605665.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605665.1.fasta	assembly_index_exact:GCF_001605665.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605665.1/GCF_001605665.1_ASM160566v1_genomic.fna
GCF_001605685.1	GCF_001605685.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605685.1.fasta	assembly_index_exact:GCF_001605685.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605685.1/GCF_001605685.1_ASM160568v1_genomic.fna
GCF_001605705.1	GCF_001605705.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001605705.1.fasta	assembly_index_exact:GCF_001605705.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001605705.1/GCF_001605705.1_ASM160570v1_genomic.fna
GCF_001628735.1	GCF_001628735.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001628735.1.fasta	assembly_index_exact:GCF_001628735.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001628735.1/GCF_001628735.1_ASM162873v1_genomic.fna
GCF_001686365.1	GCF_001686365.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686365.1.fasta	assembly_index_exact:GCF_001686365.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686365.1/GCF_001686365.1_ASM168636v1_genomic.fna
GCF_001686405.1	GCF_001686405.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686405.1.fasta	assembly_index_exact:GCF_001686405.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686405.1/GCF_001686405.1_ASM168640v1_genomic.fna
GCF_001686425.1	GCF_001686425.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686425.1.fasta	assembly_index_exact:GCF_001686425.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686425.1/GCF_001686425.1_ASM168642v1_genomic.fna
GCF_001686445.1	GCF_001686445.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686445.1.fasta	assembly_index_exact:GCF_001686445.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686445.1/GCF_001686445.1_ASM168644v1_genomic.fna
GCF_001686465.1	GCF_001686465.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686465.1.fasta	assembly_index_exact:GCF_001686465.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686465.1/GCF_001686465.1_ASM168646v1_genomic.fna
GCF_001686485.1	GCF_001686485.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686485.1.fasta	assembly_index_exact:GCF_001686485.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686485.1/GCF_001686485.1_ASM168648v1_genomic.fna
GCF_001686505.1	GCF_001686505.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686505.1.fasta	assembly_index_exact:GCF_001686505.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686505.1/GCF_001686505.1_ASM168650v1_genomic.fna
GCF_001686525.1	GCF_001686525.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686525.1.fasta	assembly_index_exact:GCF_001686525.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686525.1/GCF_001686525.1_ASM168652v1_genomic.fna
GCF_001686545.1	GCF_001686545.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686545.1.fasta	assembly_index_exact:GCF_001686545.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686545.1/GCF_001686545.1_ASM168654v1_genomic.fna
GCF_001686565.1	GCF_001686565.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686565.1.fasta	assembly_index_exact:GCF_001686565.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686565.1/GCF_001686565.1_ASM168656v1_genomic.fna
GCF_001686585.1	GCF_001686585.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686585.1.fasta	assembly_index_exact:GCF_001686585.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686585.1/GCF_001686585.1_ASM168658v1_genomic.fna
GCF_001686605.1	GCF_001686605.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686605.1.fasta	assembly_index_exact:GCF_001686605.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686605.1/GCF_001686605.1_ASM168660v1_genomic.fna
GCF_001686625.1	GCF_001686625.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001686625.1.fasta	assembly_index_exact:GCF_001686625.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001686625.1/GCF_001686625.1_ASM168662v1_genomic.fna
GCF_001687385.1	GCF_001687385.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001687385.1.fasta	assembly_index_exact:GCF_001687385.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001687385.1/GCF_001687385.1_ASM168738v1_genomic.fna
GCF_001687405.1	GCF_001687405.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001687405.1.fasta	assembly_index_exact:GCF_001687405.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001687405.1/GCF_001687405.1_ASM168740v1_genomic.fna
GCF_001831395.1	GCF_001831395.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001831395.1.fasta	assembly_index_exact:GCF_001831395.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001831395.1/GCF_001831395.1_ASM183139v1_genomic.fna
GCF_001831415.1	GCF_001831415.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001831415.1.fasta	assembly_index_exact:GCF_001831415.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001831415.1/GCF_001831415.1_ASM183141v1_genomic.fna
GCF_001831435.1	GCF_001831435.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001831435.1.fasta	assembly_index_exact:GCF_001831435.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001831435.1/GCF_001831435.1_ASM183143v1_genomic.fna
GCF_001831455.1	GCF_001831455.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001831455.1.fasta	assembly_index_exact:GCF_001831455.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001831455.1/GCF_001831455.1_ASM183145v1_genomic.fna
GCF_001984925.1	GCF_001984925.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001984925.1.fasta	assembly_index_exact:GCF_001984925.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001984925.1/GCF_001984925.1_ASM198492v1_genomic.fna
GCF_001984945.1	GCF_001984945.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001984945.1.fasta	assembly_index_exact:GCF_001984945.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001984945.1/GCF_001984945.1_ASM198494v1_genomic.fna
GCF_001984965.1	GCF_001984965.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001984965.1.fasta	assembly_index_exact:GCF_001984965.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001984965.1/GCF_001984965.1_ASM198496v1_genomic.fna
GCF_001984985.1	GCF_001984985.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001984985.1.fasta	assembly_index_exact:GCF_001984985.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001984985.1/GCF_001984985.1_ASM198498v1_genomic.fna
GCF_001985005.1	GCF_001985005.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985005.1.fasta	assembly_index_exact:GCF_001985005.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985005.1/GCF_001985005.1_ASM198500v1_genomic.fna
GCF_001985025.1	GCF_001985025.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985025.1.fasta	assembly_index_exact:GCF_001985025.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985025.1/GCF_001985025.1_ASM198502v1_genomic.fna
GCF_001985045.1	GCF_001985045.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985045.1.fasta	assembly_index_exact:GCF_001985045.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985045.1/GCF_001985045.1_ASM198504v1_genomic.fna
GCF_001985065.1	GCF_001985065.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985065.1.fasta	assembly_index_exact:GCF_001985065.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985065.1/GCF_001985065.1_ASM198506v1_genomic.fna
GCF_001985085.1	GCF_001985085.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985085.1.fasta	assembly_index_exact:GCF_001985085.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985085.1/GCF_001985085.1_ASM198508v1_genomic.fna
GCF_001985105.1	GCF_001985105.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985105.1.fasta	assembly_index_exact:GCF_001985105.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985105.1/GCF_001985105.1_ASM198510v1_genomic.fna
GCF_001985125.1	GCF_001985125.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985125.1.fasta	assembly_index_exact:GCF_001985125.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985125.1/GCF_001985125.1_ASM198512v1_genomic.fna
GCF_001985145.1	GCF_001985145.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985145.1.fasta	assembly_index_exact:GCF_001985145.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985145.1/GCF_001985145.1_ASM198514v1_genomic.fna
GCF_001985165.1	GCF_001985165.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985165.1.fasta	assembly_index_exact:GCF_001985165.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985165.1/GCF_001985165.1_ASM198516v1_genomic.fna
GCF_001985185.1	GCF_001985185.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985185.1.fasta	assembly_index_exact:GCF_001985185.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985185.1/GCF_001985185.1_ASM198518v1_genomic.fna
GCF_001985205.1	GCF_001985205.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985205.1.fasta	assembly_index_exact:GCF_001985205.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985205.1/GCF_001985205.1_ASM198520v1_genomic.fna
GCF_001985225.1	GCF_001985225.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985225.1.fasta	assembly_index_exact:GCF_001985225.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985225.1/GCF_001985225.1_ASM198522v1_genomic.fna
GCF_001985245.1	GCF_001985245.1	ok	/home/ctm/pertussis/pertussis_gene/pertussis_data/bp_genomes_qc/assemblies/GCA_001985245.1.fasta	assembly_index_exact:GCF_001985245.1	ok	../bp_genomes_qc/ncbi_dataset/data/GCF_001985245.1/GCF_001985245.1_ASM198524v1_genomic.fna
